Title,Source,Date,Search Term
Democrats Release September Debate Lineup Featuring Only 10 Candidates on a S,Washington Post,29-Aug,Pete Buttigieg
Internal Data Shows Uber’s Reputation Hasn’t Changed Much Since #DeleteUber,Washington Post,29-Aug,Pete Buttigieg
Bernie Sanders’s Supporters Find Anger Not as Compelling This Time Around,Washington Post,30-Aug, Elizabeth A Warren
Opinion: Why Elizabeth Warren Is the One to Watch,Washington Post,30-Aug, Elizabeth A Warren
The GOP Attack on American Unions Could Cost Democrats the 2020 Election,Washington Post,30-Aug, Elizabeth A Warren
"Opinion: Pull It Together, Joe Biden",Washington Post,30-Aug, Elizabeth A Warren
"To Guard Against Hacking, Democrats Recommend Scrapping Virtual Caucus",Washington Post,30-Aug, Joseph Robinette Biden Jr
Uber And Lyft Are Floating a $21 Minimum Wage. Critics Say It’s Closer to $15.,Washington Post,30-Aug,Pete Buttigieg
Opinion: Very Few Democratic Contenders Have Support From a Key Constituency,Washington Post,30-Aug,Pete Buttigieg
Opinion: Why Elizabeth Warren Is the One to Watch,Washington Post,30-Aug,Kamala D Harris
Opinion: Very Few Democratic Contenders Have Support From a Key Constituency,Washington Post,30-Aug,Kamala D Harris
Opinion: Here’s How We Get a Brokered Convention,Washington Post,30-Aug,Kamala D Harris
Sen. Bernie Sanders Teases Plan to Cancel $81 Billion in Americans’ Medical Debt,Washington Post,31-Aug," Bernard Sanders ""Bernie""           "
Black Farmers Say Warren’s Plan Wouldn’t Solve Their Biggest Problem,Washington Post,31-Aug, Elizabeth A Warren
Opinion: Here Are 14 Reasons I’ll Vote for Any Democrat Over Trump,Washington Post,31-Aug, Elizabeth A Warren
The Hyper-rich Need to Stop Hyperventilating,Washington Post,31-Aug, Elizabeth A Warren
The 2020 Electoral Map Could Be the Smallest in Years. Here’s Why.,Washington Post,31-Aug, Joseph Robinette Biden Jr
Sen. Bernie Sanders Teases Plan to Cancel $81 Billion in Americans’ Medical Debt,Washington Post,31-Aug, Joseph Robinette Biden Jr
The Hyper-rich Need to Stop Hyperventilating,Washington Post,31-Aug, Joseph Robinette Biden Jr
