,author,content,description,publishedAt,source,title,url,full_art
0,Astead W. Herndon,"Jaylan Jones, 20, said, Older people have that conservative outlook on things, even older black Democrats. 
Young people dont want Biden. We want Beto. We want Bernie, said Ms. Jones, a junior. I think we can convince them. 
The difference in opinion across… [+1603 chars]",An organic effort by black millennials and Gen Z-ers to influence their older family members may be key to overtaking Mr. Biden in the race for the Democratic presidential nomination.,2019-09-20,The New York Times,"Younger Black Voters to Their Parents: Break Up With Joe Biden, I’m Bored",https://www.nytimes.com/2019/09/20/us/politics/joe-biden-black-voters.html,"“Young people are constantly signaling what’s next and what’s possible,” Mr. Robinson said. “And while there’s some love for Biden, but sometimes you’re in a relationship because you’re comfortable and it’s what you know.”

Another Texas Southern student, Christopher Anwuri, 22, said the generational differences in how black voters saw the primary were fueled by opposing theories of political change: incrementalism versus immediate upheaval.

“This generation is looking for an instant, quick fix for problems,” he said. Older black people, meanwhile, think “these things need to take time.”

It also comes back to Mr. Obama, and the long shadow he casts over national Democratic politics, particularly in black communities. Older black voters invoke his name in deference, and cite his embrace of Mr. Biden as something that helped him win the trust of skeptical white voters in 2008.

To younger generations, many of whom were in high school or younger at the time, Mr. Obama’s achievements exist on their own. Their first memories of Mr. Biden stem from his highly meme-able vice-presidential years. They are also more likely to hold his long and at times controversial record — on criminal justice, school segregation and the Clarence Thomas hearings, among other things — against him.

Jayla Lee, 19, said older black voters “like Biden because he was with Obama, and they feel like since they could trust Obama that means they can trust him.”

“But the things we endure are not the things they endured,” Ms. Lee said. “And I’m looking for someone who can change the things that affect me.”"
1,Kenneth P. Vogel,"On Friday, Mr. Biden dismissed Mr. Trumps criticism.
Mr. Trump has suggested he would like Attorney General William P. Barr to look into any material gathered by the Ukrainian prosecutors on the matters.
Starting almost a year ago, Mr. Giuliani, a former fe… [+1641 chars]","The president and his allies have been pressing Ukraine for months to investigate Joseph R. Biden Jr., complicating relations between the two countries.",2019-09-21,The New York Times,"Behind the Whistle-Blower Case, a Long-Held Trump Grudge Toward Ukraine",https://www.nytimes.com/2019/09/20/us/politics/whistle-blower-trump-grudge.html,"WASHINGTON — For months this spring and summer, Ukraine’s newly elected president, Volodymyr Zelensky, tried to deflect pressure from President Trump and his allies to pursue investigations into former Vice President Joseph R. Biden Jr., Mr. Biden’s son and other Trump rivals.

The pressure was so relentless that Mr. Zelensky dispatched one of his closest aides to open a line of communication with Rudolph W. Giuliani, one of Mr. Trump’s personal lawyers. Mr. Giuliani was the loudest voice among those demanding that Ukraine look at Mr. Biden’s dealings with the country when he was vice president at the same time his younger son, Hunter Biden, was doing business there, and also the release by Ukrainians in 2016 of damaging information about a top Trump campaign aide.

Over breakfast in early July at the Trump International Hotel, Mr. Zelensky’s aide asked the State Department’s envoy to Ukraine for help connecting to Mr. Giuliani. Several days later, the aide discussed with Mr. Giuliani by phone the prospective investigations as well as something the Ukrainians wanted: a White House meeting between Mr. Zelensky and Mr. Trump.

But if Mr. Zelensky’s goal was to reduce the pressure to pursue the investigations and win more support from the White House — not least for Ukraine’s fight against Russia — he would be disappointed."
2,Katie Rogers,Mr. Trump derided the complaint as a ridiculous story and said his communications with other leaders were at the highest level always appropriate. When asked whether he had brought up Mr. Biden during a July phone call with President Volodymyr Zelensky of Ukr… [+1320 chars],Mr. Trump acknowledged that he does not know the identity of a whistle-blower from the intelligence community whose secretive complaint has seized attention in Washington.,2019-09-20,The New York Times,Trump Calls Whistle-Blower ‘Partisan’ and Defends Conduct With Other Leaders,https://www.nytimes.com/2019/09/20/us/politics/trump-whistle-blower-ukraine.html,"WASHINGTON — President Trump pressed the Ukrainian president in a July call to investigate former Vice President Joseph R. Biden Jr.’s son, according to a person familiar with the conversation, an apparently blatant mixture of foreign policy with his 2020 re-election campaign.

Mr. Trump also repeatedly told the Ukrainian leader, Volodymyr Zelensky, to talk with his personal lawyer Rudolph W. Giuliani, who had been urging the government in Kiev to investigate Mr. Biden and his family, according to two other people briefed on the call.

Mr. Trump’s request is part of the secret whistle-blower complaint that is said to be about Mr. Trump and at least in part about his dealings with Ukraine, according to two people familiar with the complaint.

Mr. Biden is a leading candidate for the Democratic presidential nomination. The president has made no secret that he wanted Ukraine to investigate any improper overlap between Mr. Biden’s own diplomatic efforts there and his son’s role with a gas company owned by a Ukrainian oligarch. “Someone ought to look into Joe Biden,” Mr. Trump told reporters on Friday in response to a question about his call with Mr. Zelensky."
3,Katie Rogers,"There is no bottom. Impeach him, Beto ORourke said on Friday evening.
And Joe Walsh, a former congressman from Illinois who has launched a long-shot challenge to Mr. Trump for the Republican presidential nomination, urged others in his party who were alarmed… [+1531 chars]","Mr. Trump, intensifying a line of attack his allies have stoked for months, accused the media of covering up the former vice president’s dealings with Ukraine.",2019-09-21,The New York Times,Trump Calls Reports That He Pressured Ukraine’s President a ‘Witch Hunt’,https://www.nytimes.com/2019/09/21/us/politics/trump-ukraine-biden.html,"WASHINGTON — President Trump on Saturday dismissed news reports that he urged the Ukrainian president to investigate former Vice President Joseph R. Biden Jr.’s son as little more than a “witch hunt” and said his dealings were “perfectly fine” and routine.

“Now that the Democrats and the Fake News Media have gone ‘bust’ on every other of their Witch Hunt schemes, they are trying to start one just as ridiculous as the others, call it the Ukraine Witch Hunt,” Mr. Trump wrote on Twitter. He said that any effort to investigate him would fail, comparing it to the investigation by Robert S. Mueller III, the special counsel, into his ties to Russia during the 2016 campaign.

The news reports he was referring to have revealed the existence of a secret whistle-blower complaint that is believed to have been filed, at least partly, in response to Mr. Trump’s dealings with Ukraine’s new president, Volodymyr Zelensky. The New York Times reported Friday that Mr. Trump, in a July call, pressed the Ukrainian president to investigate Mr. Biden’s son, according to a person familiar with the conversation.

Mr. Trump, intensifying a line of attack he and his allies have stoked for months, said the real problem was Mr. Biden, who according to most polls is the leading candidate in a crowded Democratic field and has framed himself as the most likely to defeat Mr. Trump in the general election."
4,Lisa Lerer and Reid J. Epstein,"Im going to keep the focus on the fact that Donald Trump has broken the law if this report is accurate and he should be impeached, former Housing Secretary Julián Castro said during an interview Friday night in Cedar Rapids. Thats where the focus belongs righ… [+1556 chars]",Reports that President Trump sought help from the Ukranian government could offer former Vice President Joseph R. Biden Jr. both opportunities and risks.,2019-09-21,The New York Times,"For Biden, Whistle-Blower Complaint Could Cut 2 Ways",https://www.nytimes.com/2019/09/21/us/politics/biden-ukraine-whistleblower-complaint.html,"Though he has yet to call for impeachment proceedings against Mr. Trump — as have several of his rivals for the 2020 Democratic nomination — Mr. Biden on Saturday tiptoed closer to embracing the idea, which has been gaining support on Capitol Hill despite opposition from House Speaker Nancy Pelosi.

Mr. Biden, whose appearances on the campaign trail can be halting and sprinkled with misstatements, has generally delivered his strongest performances when focused on Mr. Trump. Speaking about the president allows Mr. Biden to discuss foreign policy and national security, issues that his campaign has said differentiate Mr. Biden, a former Senate Foreign Relations Committee chairman, from the rest of the 2020 Democratic field.

While Mr. Trump’s attacks give Mr. Biden the one-on-one showdown with the president that his campaign has spent months trying to create, it also exposes him and his son to another round of questions about Hunter Biden’s business activities in Ukraine.

The Biden campaign moved quickly to warn the news media over the story, underscoring a deep concern about how allegations about the younger Mr. Biden’s work will be received by voters. “Any article, segment analysis and commentary that does not demonstrably state at the outset that there is no factual basis for Trump’s claim, and in fact that they are wholly discredited, is misleading readers and viewers ,” said the deputy campaign manager, Kate Bedingfield, in an email to reporters.

But Biden advisers also seized on the furor to portray Mr. Trump as fixated on, and worried about, a potential general election race against Mr. Biden.

“There is only one candidate the president is trying to get foreign governments to dig up bogus dirt on,” Anita Dunn, a senior adviser to Mr. Biden, said.

The effort by the president and his team to shift the focus to Mr. Biden could boomerang, casting the Democratic front-runner as a sympathetic figure unfairly attacked with foreign help. It could just as easily mark a defining moment for Mr. Biden, a 76-year-old politician first elected to the Senate in 1972 and long accustomed to playing by the more genteel political rules of a different era."
5,Michael Crowley and Kenneth P. Vogel,"Did Mr. Trump use American foreign policy to pressure Ukraine to investigate a political rival?
This is the big question. The White House this summer blocked a package of military assistance to Ukraine. The aid was intended to help the country defend itself … [+3252 chars]",President Trump is under intense scrutiny over a classified whistle-blower complaint about some of his behavior.,2019-09-21,The New York Times,"Trump, Biden and a Whistle-Blower Complaint: Here Are the Basics",https://www.nytimes.com/2019/09/21/us/politics/trump-whistleblower-complaint.html,"Why is this coming up now?

An intelligence official filed a whistle-blower complaint last month about the president’s actions. The inspector general for the intelligence community deemed the complaint “credible” and “urgent” and forwarded it to the acting director of national intelligence, Joseph Maguire, under a law that says such complaints must be shown to Congress within a week.

But Mr. Maguire refused to share the complaint with Congress, saying the Justice Department disagreed with the inspector general’s conclusion that its subject matter was covered under the law that requires disclosing such complaints to Congress. The issue came into the open when the House Intelligence Committee chairman, Representative Adam B. Schiff, Democrat of California, sent an angry letter to Mr. Maguire on Sept. 10, accusing him of violating the law.

Mr. Maguire relented as the impeachment inquiry came into focus. He was expected to release a redacted version of the complaint in coming days, people familiar with the situation said late on Tuesday. Administration officials were also said to be working on a deal to allow the whistle-blower to file the complaint to congressional investigators.

Mr. Maguire is set to testify about the matter on Thursday.

What did the whistle-blower claim?

The complaint’s full details remain a mystery, as does the whistle-blower’s identity. Because Mr. Trump and Mr. Giuliani have openly acknowledged pressuring Ukraine about “corruption” and the Bidens, it is not clear how much the complaint involves that is not already in plain view.

But in a closed-door briefing with the House Intelligence Committee, the inspector general for the intelligence community, Michael Atkinson, said that the complaint involved multiple actions, according to two officials familiar with his briefing, suggesting that the matter goes beyond Mr. Trump’s July phone call.

What does Mr. Trump say?

The president insists that he has been unfairly accused, saying — without offering evidence — that the whistle-blower is “partisan” and that Democrats and the news media are initiating a new “witch hunt” against him. Mr. Trump has also said that he is aware that his conversations with foreign leaders are monitored by numerous government officials and that he would not incriminate himself so easily.

What is Mr. Giuliani’s role?

Mr. Giuliani has communicated with Ukrainian officials for months about the Bidens. He has also pressed them about the circumstances of the 2016 disclosures of payments earmarked by a Russia-aligned Ukrainian political party to Paul Manafort, Mr. Trump’s 2016 campaign chairman, who is in federal prison on convictions related to his Ukrainian political work. Mr. Giuliani has sought information about both subjects and traveled to Madrid this summer for a meeting with one of Mr. Zelensky’s top aides, whom he urged to investigate the matters."
6,Reid J. Epstein and Lisa Lerer,"CEDAR RAPIDS, Iowa Ten presidential candidates will gather on Friday night for a forum exclusively focused on lesbian, gay, bisexual, and transgender issues, marking the first extended public discussion of their plans on the topic in the 2020 Democratic prima… [+1191 chars]","Ten Democratic presidential candidates will speak at the forum hosted by Glaad in Cedar Rapids, Iowa, tonight at 8 p.m.",2019-09-21,The New York Times,2020 Democrats Gather for L.G.B.T. Forum,https://www.nytimes.com/2019/09/20/us/politics/lgbt-forum-2020.html,"CEDAR RAPIDS, Iowa — Former Vice President Joseph R. Biden Jr. found himself fending off new questions about his decades-long record on lesbian, gay, bisexual and transgender issues, in a testy exchange with a moderator who described his treatment of her as “condescending.”

During a Friday night forum focused on L.G.B.T.Q. issues, Mr. Biden seemed to recoil from the direct questioning from Lyz Lenz, a Cedar Rapids Gazette columnist.

In a question-and-answer session, Ms. Lenz repeatedly pressed Mr. Biden about his past votes for the Defense of Marriage Act, the military’s “don’t ask, don’t tell” policy that forbade openly gay people from serving and his statement earlier this year that Vice President Mike Pence, known for his socially conservative positions, was “a decent guy.”

Mr. Biden sought to defend himself, reminding the audience in a steamy auditorium that he supported same-sex marriage before President Obama. “I didn’t have to evolve,” he said."
7,Annie Karni and Maggie Haberman,"Some government lawyer would be nervous to do what I do, he said in an interview on Friday. Im a private lawyer, I represent my client, and Im going to prove it to you that hes innocent. Whether you like it or not, somehow Im going to eventually get you to co… [+1529 chars]","Mr. Giuliani’s unconstrained television appearances have long raised concerns with the rest of Mr. Trump’s legal team, as well as White House officials.",2019-09-20,The New York Times,Giuliani Revels in Another Cable Dust-up Defending Trump,https://www.nytimes.com/2019/09/20/us/politics/giuliani-cuomo-trump.html,"“Some government lawyer would be nervous to do what I do,” he said in an interview on Friday. “I’m a private lawyer, I represent my client, and I’m going to prove it to you that he’s innocent. Whether you like it or not, somehow I’m going to eventually get you to cover it.”

It’s far from clear that Mr. Giuliani’s argument — that a whistle-blower complaint filed by an intelligence official against Mr. Trump will “turn out to be even stupider than Papadopoulos” — will prevail. Mr. Trump, according to multiple sources, pressured the president of Ukraine to investigate Mr. Biden’s son, Hunter, and urged him to work with Mr. Giuliani on such an inquiry. Mr. Trump and Mr. Giuliani have denied discussing the former mayor’s contacts with Ukrainian officials.

Mr. Giuliani described his 28 minutes of cross talk with Mr. Cuomo on Thursday night as “pretty rough.” During the exchange, Mr. Giuliani said he had no idea whether Mr. Trump spoke with the Ukrainian president about Mr. Biden, or Mr. Trump’s former campaign chairman, Paul Manafort. But if he did, Mr. Giuliani said, “he had every right to do it.”

“I need a platform to get that out,” he said Friday. “The platform requires them beating me over the head.” If that meant he had to sustain some blows, he said, so be it.

Mr. Giuliani said he was flooded with responses to his interview, calling it his “best appearance on television,” and noting that he “laid out the hypocrisy.”

Mr. Giuliani said that enduring Mr. Cuomo’s aggressive questioning was the price he was willing to pay to give voice to his claims that the Obama White House asked the Ukrainians to “dig up dirt” on Mr. Trump and Mr. Manafort.

“I didn’t talk to the president about it before,” he said. “I didn’t talk to him about it after. I won’t tell you if I talked to him about it today, or not.”"
8,Roger Cohen,"Will this fine-tuning be enough in an agitated America, whiplashed by President Trump? I doubt it. The under-30s, maybe under-40s, are underwhelmed by Biden, even angry that this honorable man has not chosen dignified retirement. Hes the emblem of the permane… [+2509 chars]",The politics that created the conditions for Trump cannot be the politics that defeat him.,2019-09-21,The New York Times,The Bygone Baggage of Joe Biden,https://www.nytimes.com/2019/09/20/opinion/biden-warren-2020-elections.html,"Will this fine-tuning be enough in an agitated America, whiplashed by President Trump? I doubt it. The under-30s, maybe under-40s, are underwhelmed by Biden, even angry that this honorable man has not chosen dignified retirement. He’s the emblem of the permanent political class, the one that created the conditions for Trump, in an era that Trump’s wild policy lurches and heresies and, yes, lies have now transformed.

America’s restoration, after this trauma, will not be achieved by going back. What created Trump cannot oust Trump. It will demand a new politics, and a new integrity, such as the one Warren has set out and embodied with greater vigor, persuasiveness and coherence than anyone else. Biden, on whom Trump may have been seeking dirt in a July phone call with President Volodymyr Zelensky of Ukraine, can put an end to the president’s sullying of the Oval Office. He can’t, however, embody renewal.

Is Warren too far left to win? Maybe. Does she worry some purple-district Democrats who did well in 2018? Yes. But she can adjust. As for “electability,” an overused word, well, Trump won, and may again, so all bets are off.

I said Biden has come close to a blowup moment. The campaign is grueling. You don’t have to be almost 77 to slip up. But he has demonstrated tone-deafness on race in a way that is disturbing.

His reference to a “record player” in the last Democratic debate in the context of a question about reparations for slavery tied Biden to a bygone era, but that was far from the worst of it. Talking about black families — that is what the question was about — he actually said: “We bring social workers into homes and parents to help them deal with how to raise their children. It’s not that they don’t want to help. They don’t, they don’t know quite what to do. Play the radio, make sure the television — excuse me, make sure you have the record player on at night, the, the — — make sure the kids hear words.”

They don’t know what to do! Make sure the kids hear words! This is insulting toward African-Americans. It’s of a piece with Biden’s comment (quickly adjusted) in August that “we have this notion that somehow if you’re poor, you cannot do it. Poor kids are just as bright and talented as white kids.”

There’s a way, and a need, to talk about fundamental systemic racial injustice, but this is emphatically not it. Black does not equal poor and inept. The genius has left a void. Right now it’s not his vice president who may just fill it enough, but Warren.

The Times is committed to publishing a diversity of letters to the editor. We’d like to hear what you think about this or any of our articles. Here are some tips. And here’s our email: letters@nytimes.com.

Follow The New York Times Opinion section on Facebook, Twitter (@NYTopinion) and Instagram."
9,"Alan Cullison, Rebecca Ballhaus, Dustin Volz","President Trump in a July phone call repeatedly pressured the president of Ukraine to investigate Democratic presidential candidate 
Joe Biden
s son, urging 
Volodymyr Zelensky
about eight times to work with 
Rudy Giuliani, 
his personal lawyer, on a pr… [+3501 chars]","WSJ: TRUMP PRESSED UKRAINE TO INVESTIGATE BIDEN SON (Main headline, 1st story, link ) Related stories: CAMPAIGN ROCKED Advertise here",2019-09-20,The Wall Street Journal,WSJ: TRUMP PRESSED UKRAINE TO INVESTIGATE BIDEN SON,https://www.wsj.com/articles/trump-defends-conversation-with-ukraine-leader-11568993176,"President Trump in a July phone call repeatedly pressured the president of Ukraine to investigate Joe Biden’s son, according to people familiar with the matter, urging Volodymyr Zelensky about eight times to work with Rudy Giuliani on a probe that could hamper Mr. Trump’s potential 2020 opponent.

“He told him that he should work with [Mr. Giuliani] on Biden, and that people in Washington wanted to know” if his lawyer’s assertions that Mr. Biden acted improperly as vice president were true, one of the people said. Mr. Giuliani..."
