,author,content,description,publishedAt,source,title,url,full_art
0,MSNBC.com,,"At the 2020 presidential candidates gun safety in a forum, Sen. Kamala Harris argues that safe communities means looking at the lives of children and families as a whole and addressing over-all health and well-being.",2019-10-02,MSNBC,Sen. Kamala Harris: Creating safe communities is more than about criminal justice,https://www.msnbc.com/msnbc/watch/sen-kamala-harris-creating-safe-communities-is-more-than-about-criminal-justice-70486085974,"At the 2020 presidential candidates gun safety in a forum, Sen. Kamala Harris argues that safe communities means looking at the lives of children and families as a whole and addressing over-all health and well-being."
1,MSNBC.com,,"The New York Times reports that Trump suggested shooting migrants in the legs to protect the southern border. Sen. Harris tells Lawrence O’Donnell that Trump is ""confused about the measure of strength and power.""",2019-10-02,MSNBC,Sen. Harris reacts to “outrageous” Trump idea for migrants,https://www.msnbc.com/the-last-word/watch/sen-harris-reacts-to-outrageous-trump-idea-for-migrants-70421573901,"The New York Times reports that Trump suggested shooting migrants in the legs to protect the southern border. Sen. Harris tells Lawrence O’Donnell that Trump is ""confused about the measure of strength and power."""
2,MSNBC.com,,Sen. Harris tells Lawrence O’Donnell that Mike Pompeo has a lot of questions to answer to Congress regarding his role in Rudy Giuliani's engagement with the Ukraine government.,2019-10-02,MSNBC,"Sen. Harris: Mike Pompeo is on the ""verge of obstructing justice""",https://www.msnbc.com/the-last-word/watch/sen-harris-mike-pompeo-is-on-the-verge-of-obstructing-justice-70421061665,Sen. Harris tells Lawrence O’Donnell that Mike Pompeo has a lot of questions to answer to Congress regarding his role in Rudy Giuliani's engagement with the Ukraine government.
3,Steve Benen,"Today’s installment of campaign-related news items from across the country.
* After a couple of difficult months, Sen. Bernie Sanders (I-Vt.) presidential campaign needed some good news, and a $25.3 million fundraising haul in the third quarter definitely co… [+1771 chars]",Today's installment of campaign-related news items from across the country.,2019-10-01,MSNBC,"Tuesday's Campaign Round-Up, 10.1.19",http://www.msnbc.com/rachel-maddow-show/tuesdays-campaign-round-10119,"Today’s installment of campaign-related news items from across the country.

* After a couple of difficult months, Sen. Bernie Sanders’ (I-Vt.) presidential campaign needed some good news, and a $25.3 million fundraising haul in the third quarter definitely counts as good news for the senator. The total is up from the Vermonter’s $18 million tally from the second quarter.

* Pete Buttigieg also announced third-quarter fundraising totals, and it looks like the mayor raised more than $19.1 million between June and August. That’s down from $24.8 million in the second quarter, but it nevertheless leaves Buttigieg in a strong financial position for the next phase in the race.

* Sen. Cory Booker (D-N.J.) also announced his third-quarter tally: more than $6 million. That’s his best quarter to date, and it’s enough to keep him in the race.

* Sen. Kamala Harris’ (D-Calif.) presidential campaign isn’t where she wants it to be, so the senator is “shaking up the top ranks” of her operation. The change includes moving two top aides from Harris’ Senate staff to her campaign staff.

* The latest Republican National Committee solicitation looks an awful lot like official census materials, which is the sort of misleading scheme partisans are supposed to avoid.

* To the disappointment of Democrats who expected him to lose badly, Corey Lewandowski, Donald Trump’s controversial former campaign manager, conceded this morning that it’s “fair to say” he’s reconsidering plans to run for the U.S. Senate in New Hampshire next year.

* The Atlanta Journal Constitution reports today that new voters in Georgia “have registered in droves” since last year’s elections, and “many of the new voters are racial minorities or under age 30, both groups that are more likely to support Democrats than Republicans.”

* And former Sen. Jeff Flake (R-Ariz.) wrote a new op-ed, published yesterday, arguing that Trump’s actions “warrant impeachment,” and urging his Republican brethren to end their support for the scandal-plagued president’s re-election."
4,Steve Benen,"Today’s installment of campaign-related news items from across the country.
* Sen. Bernie Sanders (I-Vt.) was hospitalized yesterday in Las Vegas and underwent a significant medical procedure after a blockage was found in one of his arteries. As NBC News rep… [+2206 chars]",Today's installment of campaign-related news items from across the country.,2019-10-02,MSNBC,"Wednesday's Campaign Round-Up, 10.2.19",http://www.msnbc.com/rachel-maddow-show/wednesdays-campaign-round-10219,"Today’s installment of campaign-related news items from across the country.

* Sen. Bernie Sanders (I-Vt.) was hospitalized yesterday in Las Vegas and “underwent a significant medical procedure after a blockage was found in one of his arteries.” As NBC News’ report added, “Sanders, who is 78, has canceled all of his campaign events ‘until further notice.’”

* Buoyed by African-American support, Joe Biden leads the Democratic presidential field in South Carolina according to the latest Winthrop University poll. The former vice president has 37% support, followed by Elizabeth Warren at 17%. Bernie Sanders is third with 8%, followed by Kamala Harris at 7%.

* Speaking of the Palmetto State, some South Carolina Republicans, including former Rep. Bob Inglis, sued the state Republican Party this week “over its decision to cancel its GOP presidential primary next year.”

* As difficult as this may seem to believe, Andrew Yang, a Democratic presidential candidate running for elected office for the first time, raised $10 million in the third quarter. That’s “more than triple the $2.8 million Yang raised in the second quarter.”

* Kamala Harris, meanwhile, raised $11.6 million between July and September, which is awfully close to the $11.8 million she raised in the second quarter.

* Former Rep. John Delaney (D-Md.), whose 2020 presidential campaign has struggled to gain traction, has reportedly lost four key aides, including his state directors in Iowa and New Hampshire.

* Joe Biden’s campaign released a new plan on gun policy today, which includes an assault-weapons ban. Under the blueprint, those Americans who already own assault weapons would be required to either register the weapons or sell them to the government.

* Speaking of new 2020 plans, Elizabeth Warren’s campaign unveiled a new proposal this morning that would tax lobbying: “Under her proposal, companies that spend between $500,000 and $1 million a year on lobbying would pay a 35% tax on their expenditures. The rate would increase to 60% for spending of more than $1 million, and to 75% above $5 million.”

* And finally, Donald Trump last week told a rather detailed story about CNN building a multi-million-dollar studio in North Carolina’s 9th congressional district, which he said the network intended to keep up “for weeks” if the Democratic candidate won in a recent special election. Like so many of the president’s bizarre anecdotes, the story was completely made up and had no basis in reality."
5,MPX,,2020 presidential candidate and California Senator Kamala Harris joins Hardball to discuss the latest news on impeachment and the Trump/Ukraine phone call.,2019-10-02,MSNBC,Kamala Harris: Trump's 'trying to intimidate' whistleblower,https://www.msnbc.com/hardball/watch/kamala-harris-trump-s-trying-to-intimidate-whistleblower-70489669802,2020 presidential candidate and California Senator Kamala Harris joins Hardball to discuss the latest news on impeachment and the Trump/Ukraine phone call.
6,Greg Gutfeld,"You know what? Democratic presidential hopeful Sen. Kamala Harris of California says President Trump’s Twitter account “should be suspended.”
""I think there is plenty of now evidence to suggest that he is irresponsible with his words in a way that could resu… [+1914 chars]",Kamala Harris wants Twitter to suspend PresidentTrump's account. It's further proof that she would make a bad president.,2019-10-01,Fox News,Gutfeld on Kamala Harris wanting to ban Trump’s Twitter,https://www.foxnews.com/opinion/gutfeld-kamala-harris-wanting-ban-trump-twitter,"You know what? Democratic presidential hopeful Sen. Kamala Harris of California says President Trump’s Twitter account “should be suspended.”

""I think there is plenty of now evidence to suggest that he is irresponsible with his words in a way that could result in harm to other people and so the privilege of using those words in that way should probably be taken away from him,"" Harris said in an interview.

Further proof that Kamala would make a bad president. Her instinct when faced with something: ban it.

KAMALA HARRIS CALLS FOR SUSPENSION OF TRUMP'S TWITTER ACCOUNT AMID WHISTLEBLOWER TWEETS

Really, she's not going to help herself by ""de-tweeting"" Trump. If anything, that might help him. He'd just launch his own message board, and the media would cover that even more breathlessly.

Without Trump’s asides, the media would have to start covering real news, which actually takes work. Besides, we'd all resent Harris for taking away one of the most striking phenomena in political history: a leader who communicates directly with the people, cutting out the middleman known as ""us,"" the media.

CLICK HERE TO SIGN UP FOR OUR OPINION NEWSLETTER

Obnoxious or not, it’s the most transparent advancement in politics. It’s the opposite of choreographed interviews between politicians and hacks that allowed both phonies to prosper.

No wonder Harris hates it. She's terrible at being authentic. She's as real as spandex. As credible as a gas station chili dog. I've never seen a candidate so uncomfortable in her own pantsuit. Well, maybe …

The only person who laughs more at their own jokes is Batman’s Joker.

CLICK HERE FOR THE ALL-NEW FOXBUSINESS.COM

There's a weird reflex among liberals these days not to engage in dialogue, but to simply suppress it. Instead of debating each other, dump the interesting voices. Instead of listening to the other side, call them ""despicable"" or ""deplorable.""

Instead of accepting an election, resist it and call it illegitimate. What do all these tactics have in common? They only work if you know you're a loser.

Adapted from Greg Gutfeld’s monologue on ""The Five"" on Oct. 1, 2019.

CLICK HERE FOR MORE FROM GREG GUTFELD"
7,Joseph Wulfsohn,"Sen. Kamala Harris, D-Calif., is doubling down on her call for President Trump to be punished on Twitter, urging the platform's CEO to ""do something.""
On Tuesday evening, Trump lashed out at House Democrats Tuesday, claiming the ongoing impeachment inquiry a… [+1406 chars]","Sen. Kamala Harris, D-Calif., is doubling down on her call for President Trump to be punished on Twitter, urging the platform's CEO to ""do something.""",2019-10-02,Fox News,"Kamala Harris doubles down on suspending Trump on Twitter, urges CEO 'do something'",https://www.foxnews.com/media/kamala-harris-trump-twitter,"Sen. Kamala Harris, D-Calif., is doubling down on her call for President Trump to be punished on Twitter, urging the platform's CEO to ""do something.""

On Tuesday evening, Trump lashed out at House Democrats Tuesday, claiming the ongoing impeachment inquiry against him is part of a ""coup.""

""As I learn more and more each day, I am coming to the conclusion that what is taking place is not an impeachment, it is a COUP, intended to take away the Power of the People, their VOTE, their Freedoms, their Second Amendment, Religion, Military, Border Wall, and their God-given rights as a Citizen of The United States of America!"" Trump tweeted.

Harris reacted to the tweet with a plea to Twitter CEO Jack Dorsey. ""Hey, @jack. Time to do something about this,"" the 2020 hopeful wrote.

KAMALA HARRIS CALLS FOR SUSPENSION OF TRUMP'S TWITTER ACCOUNT AMID WHISTLEBLOWER TWEETS

The California Democrat initially called for Trump to be suspended on Monday in reaction to his attacks on the whistleblower who shed a light on his communications with Ukraine.

""The president's tweets and his behaviors about this are just further evidence of the fact that he uses his power in a way that is designed to beat people down instead of lift people up,"" Harris said on CNN.

CLICK HERE TO GET THE FOX NEWS APP

""Frankly, when you look at what he's been tweeting today directed at the whistleblower, directed at so many people, you know, I, frankly, think that based on this and all we've seen him do before, including attacking members of Congress, that he, frankly, should be -- his Twitter account should be suspended.”

Fox News' Gerren Keith Gaynor contributed to this report."
8,Sam Dorman,"Sen. Elizabeth Warren, D-Mass., laughed off the suggestion that Twitter ban President Trump after one of her 2020 primary opponents, Sen. Kamala Harris, D-Calif., called for his suspension from the vast social media platform.
""Should Donald Trump be banned f… [+2162 chars]","Sen. Elizabeth Warren, D-Mass., laughed off the idea that Twitter should ban President Trump after one of her 2020 opponents, Sen. Kamala Harris, D-Calif., called for the president's suspension on the social media platform.",2019-10-02,Fox News,Warren laughs off suggestion that Twitter ban Trump after Harris' call for suspension,https://www.foxnews.com/media/elizabeth-warren-kamala-harris-donald-trump-twitter-ban,"Sen. Elizabeth Warren, D-Mass., laughed off the suggestion that Twitter ban President Trump after one of her 2020 primary opponents, Sen. Kamala Harris, D-Calif., called for his suspension from the vast social media platform.

""Should Donald Trump be banned from Twitter?"" a reporter asked. Warren laughed and said simply, ""No.""

The comment came after Harris sent a letter to Twitter CEO Jack Dorsey on Tuesday, accusing the president of violating the company's terms of service. ""I believe the president's recent tweets rise to the level that Twitter should consider suspending his account. When this kind of abuse is being spewed from the most powerful office in the United States, the stakes are too high to do nothing,"" she said.

She specifically pointed to tweets in which the president attacked House Intelligence Committee Chairman Adam Schiff, D-Calif., and suggested there would be ""big consequences"" for the whistleblower who reported on his call with Ukraine.

KAMALA HARRIS DOUBLES DOWN ON SUSPENDING TRUMP ON TWITTER, URGES CEO 'DO SOMETHING'

Harris also flagged a tweet in which Trump accused Democrats of engaging in a ""coup."" ""Hey @jack. Time to do something about this,"" Harris tweeted, using the Twitter CEO's handle.

That prompted a clash among media figures as Five Thirty-Eight founder Nate Silver pushed back on removing Trump from his favored platform.

TRUMP BLASTS IMPEACHMENT PUSH AS A 'COUP,' CLAIMS IT IS 'INTENDED TO TAKE AWAY THE POWER OF THE PEOPLE'

Dorsey has faced criticism before for not banning Trump after the president tweeted that he had a ""much bigger"" button than North Korea for launching nukes.

“Twitter is endangering the world and breaking its own terms of service to do it. Trump or Jack must go,” Resistance San Francisco said at the beginning of 2018.

CLICK HERE TO GET THE FOX NEWS APP

In a blog post around that time, Twitter put the kibosh on banning world leaders from the platform. ""Twitter is here to serve and help advance the global, public conversation. Elected world leaders play a critical role in that conversation because of their outsized impact on our society,"" the post read.

""Blocking a world leader from Twitter or removing their controversial tweets would hide important information people should be able to see and debate. It would also not silence that leader, but it would certainly hamper necessary discussion around their words and actions."""
9,Nick Givas,"The founder of the Five Thirty-Eight website, Nate Silver, was on the receiving end of some negative tweets Wednesday after he defended President Trump's right to have a Twitter account.
Silver, a well-known pollster, defended the president's use of the plat… [+1073 chars]","Founder of Five Thirty-Eight Nate Silver found himself bombarded with negative tweets on Wednesday after he defended President Trump's right to have a Twitter account, following Sen. Kamala Harris', D-Calif., calls for regulation by the company's CEO.",2019-10-02,Fox News,Nate Silver cops backlash for defending Trump's Twitter account after Kamala Harris called for its suspension,https://www.foxnews.com/media/donald-trump-twitter-account,"The founder of the Five Thirty-Eight website, Nate Silver, was on the receiving end of some negative tweets Wednesday after he defended President Trump's right to have a Twitter account.

Silver, a well-known pollster, defended the president's use of the platform after 2020 Democratic hopeful Kamala Harris put pressure on Twitter's CEO Jack Dorsey to ""do something"" about Trump's account.

""Hey, @jack, Time to do something about this,"" Harris wrote on Tuesday.

Silver responded and also tagged Dorsey, saying the president should have an open line of communication with the American people.

TRUMP IN TWITTER BATTLE WITH SCARAMUCCI, SAYING HE'D DO ANYTHING TO STAY IN SPOTLIGHT

""Hey, @jack. As a journalist I think Trump's tweets are extremely newsworthy and I'm happy that you've given the President of the United States a platform to communicate in a direct and unfiltered way with the public,"" he tweeted.

However, Silver's response drew criticism from many — including other reporters who seemed to side with Harris on the issue.

The comments came after Fox News' Greg Gutfeld criticized Harris for her calls to have Trump's Twitter activity looked into on Tuesday.

CLICK HERE TO GET THE FOX NEWS APP

""She's not going to help herself by 'de-tweeting' Trump. If anything, that might help him,"" Gutfeld said on ""The Five."""
10,Victor Garcia,"""The Five"" addressed Democratic presidential candidate Kamala Harris' attempt to silence President Trump's Twitter account, saying the California senator may be looking for a way to give her campaign a boost.
""I will say that I think Harris is trying to stir… [+1487 chars]","""The Five"" addressed Democratic presidential candidate Kamala Harris' attempt to silence President Trump's Twitter account saying the California senator may be looking for a way to drum up interest in her flailing campaign.",2019-10-02,Fox News,Dagen McDowell: Kamala Harris' attack on Trump's Twitter account is sign of 'desperation',https://www.foxnews.com/media/dagen-mcdowell-kamala-harris-attack-on-trumps-twitter-account-is-sign-of-desperation,"""The Five"" addressed Democratic presidential candidate Kamala Harris' attempt to silence President Trump's Twitter account, saying the California senator may be looking for a way to give her campaign a boost.

""I will say that I think Harris is trying to stir her base,"" co-host Juan Williams said Tuesday. ""You know Elizabeth Warren went after Facebook and then [Mark Zuckerberg] went after her and now I think that what you get is Kamala Harris saying I think I can go after Twitter because there was a lot of anger at big tech going into 2020.""

Harris said on Monday night that Trump should have his Twitter account suspended over, among other things, his tweets about the whistleblower whose complaint helped launch a formal impeachment inquiry.

KAMALA HARRIS DOUBLES DOWN ON SUSPENDING TRUMP ON TWITTER, URGES CEO 'DO SOMETHING'

""The president's tweets and his behaviors about this are just further evidence of the fact that he uses his power in a way that is designed to beat people down instead of lift people up,"" Harris told CNN Monday.

Fox Business' Dagen McDowell said Harris' move is a sign of ""desperation.""

""Kamala Harris is fumbling and she's like, 'Oh, I'm going to go after Twitter because Elizabeth Warren sucked all the oxygen out of the room.' She's standing up and saying, 'I'm going to go after Facebook I'm going to break them up I'm going to go after all of these big technology companies,'"" McDowell said. ""Maybe by sucking up to some of these technology companies , Kamala Harris thinks she can get some money from them.""

CLICK HERE FOR THE ALL-NEW FOXBUSINESS.COM

Co-host Greg Gutfeld pointed out that Harris and others can't keep up with the president on Twitter.

""If you can't beat him, you ban him,"" he said."
11,Gerren Keith Gaynor,"Sen. Kamala Harris said on Monday night that President Trump should have his Twitter account suspended over his tweets about the whistleblower whose complaint has helped launch an official House inquiry into his potential impeachment. 
""The President's tweet… [+2370 chars]",,2019-10-01,Fox News,Kamala Harris calls for suspension of Trump's Twitter account amid whistleblower tweets,https://www.foxnews.com/politics/kamala-harris-suspend-trump-twitter-accont,"Sen. Kamala Harris said on Monday night that President Trump should have his Twitter account suspended over his tweets about the whistleblower whose complaint has helped launch an official House inquiry into his potential impeachment.

""The President's tweets and his behaviors about this are just further evidence of the fact that he uses his power in a way that is designed to beat people down instead of lift people up,"" the 2020 Democratic presidential candidate told CNN.

""Frankly, when you look at what he's been tweeting today directed at the whistleblower, directed at so many people, you know, I, frankly, think that based on this and all we've seen him do before, including attacking members of Congress, that he, frankly, should be -- his Twitter account should be suspended.”

Harris said Trump’s latest tweets, in which he called the whistleblower “close to a spy,” is evidence that he is “irresponsible with his words in a way that could result in harm to other people.”

TRUMP WANTS TO MEET WHISTLEBLOWER, SAYS SCHIFF MAY HAVE COMMITTED 'FRAUD AND TREASON'

“The privilege of using those words in that way should probably be taken from him,"" she added.

When asked if she thought suspending Trump’s Twitter account could be seen as the tech giant silencing Trump’s free speech, Harris doubled down on her argument that the president should not use “his words in a way that could subject someone to harm.”

""If he's not going to exercise self-restraint, then, perhaps, there should be other mechanisms in place to make sure that his words do not, in fact, harm anyone,"" she said. ""And that's my point. What we want to make sure is that his words do not actually result in harm to anyone.""

KAMALA HARRIS HITS 'LAWLESS PRESIDENT' TRUMP: 'THE GUY IS SCARED' AND 'DESPERATE,' KNOWS HE WILL LOSE IN 2020

Trump on Sunday said he wants to meet the whistleblower who filed a complaint about his July phone call with the Ukrainian president and to have House Intelligence Committee Chairman Adam Schiff, D-Calif., questioned for “fraud and treason.”

In the series of tweets on Sunday, Trump said he wanted to meet with both the whistleblower and the person who supplied the information. He also questioned whether he was being spied on.

CLICK HERE TO GET THE FOX NEWS APP

“In addition, I want to meet not only my accuser, who presented SECOND & THIRD HAND INFORMATION, but also the person who illegally gave this information, which was largely incorrect, to the ‘Whistleblower,’” Trump tweeted. “Was this person SPYING on the U.S. President? Big Consequences!”

Fox News' Stephen Sorace contributed to this report."
12,,,Presidential hopeful Kamala Harris looks to suspend the president's Twitter account.,2019-10-01,Fox News,Gutfeld on Kamala Harris wanting to ban Trump's twitter,http://video.foxnews.com/v/6091067581001/,no words found
13,,,Democratic presidential candidate Kamala Harris sends letter to Twitter's CEO asking for the president's account to be suspended; reaction on 'The Five.',2019-10-02,Fox News,Kamala Harris doubles down on call to censor President Trump's tweets,http://video.foxnews.com/v/6091428463001/,no words found
14,Frank Miles,"Democratic presidential candidate Tulsi Gabbard called out her party rivals for trying to cash in on House Speaker Nancy Pelosi's presidential impeachment inquiry.
""Candidates for POTUS who are fundraising off 'impeachment' are undermining credibility of inq… [+1898 chars]",Democratic presidential candidate Tulsi Gabbard called out her liberal contenders for trying to cash in on House Speaker Nancy Pelosi's presidential impeachment inquiry over the whistleblower report on President Trump's conversation with the president of Ukra…,2019-10-01,Fox News,Tulsi Gabbard calls out Dem presidential rivals cashing in on Trump impeachment inquiry,https://www.foxnews.com/politics/tulsi-gabbard-calls-out-democratic-presidential-contenders-cashing-in-on-trump-impeachment-inquiry,"Democratic presidential candidate Tulsi Gabbard called out her party rivals for trying to cash in on House Speaker Nancy Pelosi's presidential impeachment inquiry.

""Candidates for POTUS who are fundraising off 'impeachment' are undermining credibility of inquiry in eyes of American people, further dividing our already fractured country,"" the Hawaii congresswoman said on Twitter. ""Please stop. We need responsible, patriotic leaders who put the interests of our country before their own.""

Sen. Kamala Harris, D-Calif., and Montana Gov. Steve Bullock have emailed supporters with petition links that lead to a donations page; Sen. Elizabeth Warren, D-Mass., has released a number of impeachment advertisements on social media, according to ABC News.

TRUMP DEMANDS SCHIFF RESIGN OVER 'PARODY' READING OF UKRAINE CALL

Democrats recently announced a formal impeachment inquiry into President Trump over a whistleblower's claim that the president, who'd put a freeze on millions of dollars in military aid to Ukraine, improperly pushed that country's president, Volodymyr Zelensky, during a July phone call to investigate Joe Biden and his son Hunter.

Hunter Biden served on the board of Ukrainian gas company Burisma as his father was leading the Obama administration’s diplomatic dealings with Kiev. Trump has claimed that Joe Biden pressured the Ukrainian government to shut down a corruption investigation of Burisma. The former vice president has denied doing anything wrong.

CLICK HERE FOR THE ALL-NEW FOXBUSINESS.COM

Gabbard had been reluctant to join Democrats in supporting impeachment.

She reversed her position a few days later.

“…After looking carefully at the transcript of the conversation with Ukraine’s president, the whistleblower complaint, the inspector general memo, and President Trump’s comments about the issue, unfortunately, I believe that if we do not proceed with the inquiry, it will set a very dangerous precedent,"" she said. ""Future presidents, as well as anyone in positions of power in the government, will conclude that they can abuse their position for personal gain, without fear of accountability or consequences."""
15,Paul Steinhauser,"They’re going to need a really big stage.
The Democratic National Committee (DNC) on Wednesday announced the lineup for their Oct. 15 fourth-round presidential primary debate, and as expected, 12 candidates have qualified, meeting the polling and fundraising… [+2195 chars]","They’re going to need a really big stage. The Democratic National Committee on Wednesday announced the line up for their October 15 fourth round presidential primary debate, and as expected, 12 candidates qualified.",2019-10-02,Fox News,Stage is set for record-breaking presidential primary debate,https://www.foxnews.com/politics/stage-is-set-for-record-breaking-presidential-primary-debate,"They’re going to need a really big stage.

The Democratic National Committee (DNC) on Wednesday announced the lineup for their Oct. 15 fourth-round presidential primary debate, and as expected, 12 candidates have qualified, meeting the polling and fundraising criteria.

That means the showdown will be the largest in presidential primary history, topping the 11 Republicans who faced off in a primary debate in September 2015, according to political research from Sabato’s Crystal Ball, a political newsletter and website.

THE LATEST FROM FOX NEWS ON THE 2020 PRESIDENTIAL CAMPAIGN

The dozen Democratic White House contenders who made the cut are – in alphabetical order – former Vice President Joe Biden; Sen. Cory Booker of New Jersey; South Bend, Ind., Mayor Pete Buttigieg; former Housing and Urban Development Secretary Julian Castro; Rep. Tulsi Gabbard of Hawaii; Sens. Kamala Harris of California and Amy Klobuchar of Minnesota; former Rep. Beto O’Rourke of Texas; Sen. Bernie Sanders of Vermont; businessman and environmental advocate Tom Steyer; Sen. Elizabeth Warren of Massachusetts; and tech entrepreneur Andrew Yang.

The first two rounds of debates in June and July – with lower qualifying thresholds – were held over two consecutive nights with 10 candidates on the stage each evening. The thresholds were raised for the third-round debate, resulting in 10 candidates facing off on one night.

The DNC announced last week that the fourth-round debate would also be held on a single night. The 10 contenders who faced off in September automatically qualified for the October debate. And Gabbard and Steyer, who narrowly missed the September cut, reached the thresholds to qualify for the upcoming showdown by Tuesday’s deadline.

2020 DEMOCRATIC FIELD POISED FOR NEW PURGE WITH KEY DEADLINES APPROACHING

Twelve candidates on the same stage at the same time could make for an unwieldy debate and a lot of jockeying for time and attention.

Steyer told Fox News on Wednesday that “the DNC makes decisions and I try not to think about them.”

He emphasized that “the debates are a huge opportunity and that’s how I hope to use them,” but he also acknowledged that “if there are more people on the stage, then it’s harder, and I just have to deal with that.”

The Oct. 15 debate will be held at Otterbein University, a liberal arts institution in Westerville, Ohio. The DNC’s media partners for the showdown are CNN and The New York Times."
