,author,content,description,publishedAt,source,title,url,full_art
0,"Haris Alic, Haris Alic","Neil Bluhm, a billionaire casino magnate and former Obama bundler, made the comment during a ritzy fundraiser hosted on Biden’s behalf at his Chicago, Illinois home. The former vice president did not correct Bluhm, according to The Chicago Sun Times, choosing… [+3845 chars]","One of former Vice President Joe Biden's top donors slammed Sens. Elizabeth Warren (D-MA) and Bernie Sanders (D-VT) on Thursday, saying they do not ""represent the Democratic Party.""",2019-09-20,Breitbart News,Top Biden Donor: Warren and Sanders 'Don’t Represent the Democratic Party',https://www.breitbart.com/2020-election/2019/09/19/top-biden-donor-elizabeth-warren-and-bernie-sanders-dont-represent-the-democratic-party/,"One of former Vice President Joe Biden’s top donors slammed Sens. Elizabeth Warren (D-MA) and Bernie Sanders (D-VT) on Thursday, saying they do not “represent the Democratic Party.”

Neil Bluhm, a billionaire casino magnate and former Obama bundler, made the comment during a ritzy fundraiser hosted on Biden’s behalf at his Chicago, Illinois home. The former vice president did not correct Bluhm, according to The Chicago Sun Times, choosing instead to deliver a standard stump speech about Americans needing to be more optimistic.

NEW: Pool report today from a @JoeBiden fundraiser revealed that Biden donor and event host, casino magnate Neil Bluhm, told donors that @BernieSanders and @ewarren “don’t represent the Democratic Party” that he supports. — Ryan Nobles (@ryanobles) September 19, 2019

Shortly after Bluhm’s comments broke on social media, the Sanders campaign responded by rebuking the billionaire donor and, in effect, Biden as well.

“Mr. Bluhm is right — the Democratic Party I represent is the party of the working class, not billionaires. That’s why we’re going to win,” the Sanders campaign said in a statement.

In a statement to @CNN in response to this report @BernieSanders said: “Mr Bluhm is right — the Democratic Party I represent is the party of the working class, not billionaires. That's why we're going to win.” https://t.co/Ti9gSCJCpi — Ryan Nobles (@ryanobles) September 19, 2019

Bluhm’s criticism and the response it triggered underscores the internal divisions plaguing the Democratic Party ahead of the 2020 presidential election. Biden, despite having one of the most left-wing platforms of any Democrat frontrunner, is considered a moderate in comparison to the rest of the field. The image stems from the triangulation Biden has done over the span of his more than 40-year political career, especially on issues important to progressives like race, financial deregulation, and criminal justice.

The former vice president has also done little to appease the increasingly powerful left-wing of his party by aligning himself with the establishment in opposition to radical proposals like Medicare for All. Even Biden’s attempts to find common ground with progressives on climate change — by calling for an outright ban on coal — has been met with derision for not going far enough.

Sanders and Warren, on the other hand, are seen as progressive firebrands pushing the Democratic Party away from the Neoliberal policies of Presidents Bill Clinton and Barack Obama and towards the more centralized economies of Northern Europe. Along those lines, Warren and Sanders have championed a series of policies — ranging from free higher education, increased Wall Street regulation, and higher taxes on the wealthy, among others — to remake the American economy.

The divergence between the former vice president and Sanders and Warren has been no clearer than on the issue of Medicare for All. Biden has consistently attacked the universal healthcare plan, which is authored by Sanders, as overly ambitious and impossible to implement. The former vice president, who is trumpeting his own healthcare proposal centered on strengthening Obamacare and providing a public health insurance option, has also lambasted the proposal’s backers for not being upfront about its costs and consequences.

“Bernie’s been very honest about it. He said you’re going to have to raise taxes on the middle class. He said it’s going to end all private insurance. I mean, he’s been straightforward about it. And he’s making his case,” Biden told CNN in July, adding other Democrats have not been as transparent.

Sanders, Warren, and their allies have responded to such criticisms by accusing Biden of parroting Republican talking points on Medicare for All.

“The charge that he’s making is exactly what the Republicans are saying,” Sanders told the New York Times in July while excoriating Biden for siding with “insurance companies and the pharmaceutical industries” on the issue.

Many, however, have noted that the battle for Medicare for All is really just a proxy battle between the establishment, which is averse to change, and the grassroots. Biden, himself, seemed to hint at this when he promised at a June fundraiser that “nothing would fundamentally change” if he was elected president."
1,"Daniella Diaz, CNN","Cedar Rapids, Iowa (CNN)Sen. Elizabeth Warren tweeted on Friday evening that ""Congress is complicit"" in failing to start impeachment proceedings against President Donald Trump after the news broke that Trump had pressed Ukraine's President to investigate Demo… [+2383 chars]","Sen. Elizabeth Warren tweeted on Friday evening that ""Congress is complicit"" in failing to start impeachment proceedings against President Donald Trump after the news broke that Trump had pressed Ukraine's President to investigate Democratic presidential cand…",2019-09-21,CNN,Warren: 'Congress is complicit' by failing to start impeachment proceedings against Trump,https://www.cnn.com/2019/09/20/politics/elizabeth-warren-impeachment-congress/index.html,"Cedar Rapids, Iowa (CNN) Sen. Elizabeth Warren tweeted on Friday evening that ""Congress is complicit"" in failing to start impeachment proceedings against President Donald Trump after the news broke that Trump had pressed Ukraine's President to investigate Democratic presidential candidate Joe Biden's son, according to a person familiar with the situation.

Asked by CNN at Saturday's Iowa Steak Fry as she was leaving the grill area what steps Congress needed to take, the Massachusetts senator said, ""Impeachment, we need to start impeachment proceedings.""

Since then, she has repeatedly called for the House to begin impeachment proceedings but took it a step further Friday by calling Congress ""complicit"" in ""failing to act.""

""After the Mueller report, Congress had a duty to begin impeachment,"" she wrote in a tweet Friday evening . ""By failing to act, Congress is complicit in Trump's latest attempt to solicit foreign interference to aid him in US elections. Do your constitutional duty and impeach the president.""

Read More"
2,Opinion by Sarah Isgur,Sarah Isgur is a CNN political analyst. She has worked on three Republican presidential campaigns and is an adjunct professor at George Washington University's School of Media and Public Affairs. She is a graduate of Harvard Law School. The views expressed he… [+4302 chars],"If history is any indication, there's every reason to suspect the partisan divide heading into 2020 will get worse, says Sarah Isgur. She breaks down what that might mean for both sides of the aisle, and says it's bad news right now for every candidate whose …",2019-09-21,CNN,Growing divide shows 'electability' question isn't going anywhere,https://www.cnn.com/2019/09/21/opinions/widening-partisan-approval-gap-for-2020-isgur/index.html,"Sarah Isgur is a CNN political analyst. She has worked on three Republican presidential campaigns and is an adjunct professor at George Washington University's School of Media and Public Affairs. She is a graduate of Harvard Law School. The views expressed here are hers. Read more opinion on CNN.

(CNN) I've been hearing a new conversation in coffee shops and happy hours around the country. One friend makes their prediction of who will win in November 2020, and the other nods in agreement. But then the voices become hushed as the second person asks, ""But do you really think the other side will accept the results?""

We've experienced the peaceful transfer of power for 230 years, including the constitutionally messy outcomes in 1876, 1888, 2000 and, well, 2016 for that matter. No tanks rolled through the streets and no shadow governments operated from underground bunkers even when the guy with the most votes didn't end up in the White House.

So why in 2019 do so many Americans -- across party lines -- believe that if their candidate loses next year it can only be because the election was rigged?

Here's one place we can look: For the third time in his presidency, Donald Trump has an 86-point gap between what Republicans and Democrats think about him, according to the latest Gallup approval poll . Ninety-one percent of Republicans approve of his job performance to date, while only 5% of Democrats feel the same.

We are still 14 months away from Election Day. But Americans on both sides appear primed and ready to vote.

Just four years ago , only 32% of voters said they were ""extremely interested"" in the 2016 election. But this week, that same poll shows 59% are extremely interested this time around. And if you only include self-identified partisans, the number jumps into the 60s.

And with stakes this high, Democratic voters appear to be grappling with their own dilemma: vote for a candidate who best exemplifies their visceral loathing for Donald Trump or vote for the candidate who is most likely to beat him?

Current polling shows the race for the Democratic nomination is tightening between Vice President Joe Biden and Senator Elizabeth Warren. But that doesn't mean voters are picking between them.

The polls are pretty clear that Democratic and Democratic-leaning independent voters would prefer to vote for Elizabeth Warren. They think she's won every debate so far. And as the 20,000 people who showed up to her New York City rally this week can attest, she leads Biden in voter enthusiasm by double digits.

But nearly half of Democrats and Democratic-leaning voters believe that Biden is best positioned to beat Trump. Barely 1 in 10 think that of Warren.

If history is any indication, there's every reason to suspect the partisan divide heading into 2020 will get worse. After all, that 86% gap just means we have 14% more to go.

All of this is a big problem for Elizabeth Warren.

As David Leonhardt noted in the New York Times this week, Warren has struggled to win blue collar workers (you remember: the ones that gave Trump his narrow wins in Wisconsin, Michigan, and Pennsylvania?) in her own state of Massachusetts since 2012. She underperformed even her fellow down ballot Democrats in the last election. Voters on both sides of the aisle in these swing states are tuned in and eager to vote, but Biden out performs her in a head to head with Donald Trump in Wisconsin by 9 points , for instance.

Of course, Joe Biden has his own lurking shadows. Unlike Elizabeth Warren, who has developed her following based on her progressive appeal and solid debate performances, Biden's standing with the Democratic electorate seems largely driven by fear—fear of losing again to Donald Trump. If she can assuage that fear—or if another candidate can prove more viable—Joe Biden could be looking at a swift and total collapse.

Get our weekly newsletter Sign up for CNN Opinion's new newsletter. Join us on Twitter and Facebook

We've got a long way to go in this race, but the growing partisan divide around Donald Trump and the fear of losing to him in 2020 means electability will only grow in importance to Democratic primary voters. And that's bad news right now for every candidate whose name doesn't rhyme with Schmiden.

Note: An earlier version of this article incorrectly said the 2020 election is 16 months away."
3,"John Binder, John Binder","In interviews with the Albuquerque Journal, a handful of Hispanic voters said they backed Trump’s immigration agenda of ending illegal immigration, building a wall, and reducing legal immigration to raise U.S. wages.
“I believe in the wall,” Marcella Trujill… [+2264 chars]","Despite 2020 Democrat presidential primary candidates' plans to open the border and increase overall immigration to the United States, Hispanic Americans are increasingly siding with President Trump's ""America First"" agenda.",2019-09-20,Breitbart News,Hispanic Americans Side with Trump on Immigration: 'I Believe in the Wall',https://www.breitbart.com/politics/2019/09/19/hispanic-americans-side-with-trump-on-immigration-i-believe-in-the-wall/,"Despite 2020 Democrat presidential primary candidates’ plans to open the border and increase overall immigration to the United States, Hispanic Americans are increasingly siding with President Trump’s “America First” agenda.

In interviews with the Albuquerque Journal, a handful of Hispanic voters said they backed Trump’s immigration agenda of ending illegal immigration, building a wall, and reducing legal immigration to raise U.S. wages.

“I believe in the wall,” Marcella Trujillo Melendez, a Trump supporter, told the Albuquerque Journal. “I believe in security. This is my country, and I want it to be safe.”

“The most important thing to me is that I believe he truly loves America,” Melendez continued. “I believe that he knows his job. His job is to put America first. He’s not the president of the world.”

Poll after poll has found that though Hispanic Americans continue to vote by a majority for Democrats, especially those who were born outside the U.S., they side with Trump on the key issue of immigration — that is, they want less immigration, not more, and do not believe American taxpayers should be subsidizing illegal immigration.

For example, the latest Harvard/Harris Poll found that Hispanic Americans, along with black Americans, are vastly opposed to plans put forward by Sen. Elizabeth Warren (D-MA) and former Vice President Joe Biden to increase overall immigration to the U.S.

When ranked, Hispanic Americans listed increasing immigration as their second most unpopular issue, which would make them less likely to vote for a presidential candidate.

On the most extreme open borders plans endorsed by many elected Democrats, such as giving illegal aliens the right to vote, Hispanic Americans opposed the initiative by a majority of 73 percent.

Even with mainstream Democrat policies like providing taxpayer-funded welfare benefits to illegal aliens, temporary foreign visa workers, and legal immigrants who have yet to obtain green cards, Hispanic Americans align themselves with Trump.

A majority of 56 percent of Hispanic Americans said they support denying green cards to legal immigrants who are found to be a burden on taxpayers because of their use of welfare. Another 65 percent of Hispanic Americans said illegal aliens should not be allowed to take welfare.

With his agenda of less immigration and increased border controls, Trump won more Hispanic Americans in the 2016 election than failed GOP presidential candidate Mitt Romney did in 2012. For the first time in U.S. history, due to immigration, Hispanic Americans are set to outpace black Americans as the largest voting minority in the 2020 presidential election.

John Binder is a reporter for Breitbart News. Follow him on Twitter at @JxhnBinder."
4,"Alex Rogers, CNN","(CNN)Democratic Rep. Joe Kennedy III of Massachusetts will announce a run for Senate on Saturday morning at the East Boston Social Center, challenging Democratic Sen. Ed Markey, who has served in Congress for more than 40 years.
In recent weeks, Kennedy, 38,… [+3812 chars]","Democratic Rep. Joe Kennedy III of Massachusetts will announce a run for Senate on Saturday morning at the East Boston Social Center, challenging Democratic Sen. Ed Markey, who has served in Congress for more than 40 years.",2019-09-21,CNN,Rep. Joe Kennedy to kick off primary challenge to Sen. Ed Markey,https://www.cnn.com/2019/09/21/politics/joe-kennedy-ed-markey-primary-challenge-senate-massachusetts/index.html,"(CNN) Democratic Rep. Joe Kennedy III of Massachusetts has announced a run for Senate on Saturday morning at the East Boston Social Center, challenging Democratic Sen. Ed Markey, who has served in Congress for more than 40 years.

""We have a Senate that instead of trying to harness the opportunity and potential of every person in this country, they're trying to pull us back,"" Kennedy said Saturday in announcing his run. ""And I'm running for the United States Senate to tear that down, to fight back with everything we've got.""

In recent weeks, Kennedy, 38, has sought to draw a generational contrast with Markey, 73, while benefiting from the goodwill shown for the generations of Kennedys who have represented the state before him.

In a campaign email Saturday, Kennedy lists conversations he's had with constituents following President Donald Trump's election and ""outdated structures and old rules"" as reasons he decided to enter the Senate race.

""This is the fight of our lives, the fight of my generation — and I'm all in,"" he said.

Read More"
5,"Caroline Kelly, CNN","(CNN)House Speaker Nancy Pelosi slammed the Trump Administration's plans to accelerate arms sales and send additional forces to Saudi Arabia and the United Arab Emirates as bypassing Congress' intent. 
Pelosi called the response ""the latest outrageous attemp… [+2664 chars]",House Speaker Nancy Pelosi slammed the Trump Administration's plans to accelerate arms sales and send additional forces to Saudi Arabia and the United Arab Emirates as bypassing Congress' intent.,2019-09-21,CNN,"Pelosi: US arms sales, troop deployments to Saudi Arabia and UAE 'outrageous'",https://www.cnn.com/2019/09/21/politics/pelosi-saudi-uae-arms-sales-troops-outrageous/index.html,"(CNN) House Speaker Nancy Pelosi slammed the Trump Administration's plans to accelerate arms sales and send additional forces to Saudi Arabia and the United Arab Emirates as bypassing Congress' intent.

Pelosi called the response ""the latest outrageous attempt by the Trump Administration to circumvent the bipartisan, bicameral will of Congress,"" adding in a statement Saturday: ""These unacceptable actions are cause for alarm.""

The speaker's ire follows an announcement from the Pentagon Friday that it would send additional troops and enhanced air and missile defense systems to the two countries in response to the September 14 attack on Saudi oil facilities , which the US has blamed on Tehran.

""Americans are weary of war, and have no interest in entering another Middle East conflict, particularly on behalf of Saudi Arabia,"" Pelosi argued. ""They will not stand by while the President undermines our security and jeopardizes the lives of our brave service members.""

Texas Rep. Michael McCaul, the top Republican on the House Foreign Affairs Committee, voiced support on Wednesday -- before the White House's move -- for providing military resources to Saudi Arabia to prevent direct US involvement.

Read More"
6,"Doug Criss, CNN","(CNN)Billionaire Robert Smith has made good on his promise to pay off the student loan debt of the entire 2019 graduating class at Morehouse College by donating $34 million to the historically black men's school in Atlanta.
In May, Smith stunned students, th… [+3913 chars]",Billionaire investor Robert F. Smith donated $34 million to make good on his promise to pay off the student loan debt of the entire Class of 2019 at Morehouse College.,2019-09-20,CNN,$34 million: How much one man is paying to wipe out a graduating class' college debt,https://www.cnn.com/2019/09/20/us/morehouse-student-debt-trnd/index.html,"(CNN) Billionaire Robert Smith has made good on his promise to pay off the student loan debt of the entire 2019 graduating class at Morehouse College by donating $34 million to the historically black men's school in Atlanta.

In May, Smith stunned students, their parents and school officials when he announced his offer during commencement.

His multimillion-dollar donation will be distributed through the school's new Student Success Program. In addition to paying off the debt of the 2019 graduates, this program will solicit and accept donations to help reduce or eliminate the student loan debt of other Morehouse students, school president David A. Thomas said.

More than 400 graduates from Morehouse's Class of 2019, as well as their parents and guardians, will have their student loans paid thanks to Smith's gift, which spurred others to give, as well.

The school wants to gauge the social impact of debt elimination

Read More"
7,Hannah Bleau,"Change Research polled 3,325 likely Democrat primary voters September 12-15, 2019, and found the Massachusetts senator narrowly leading the field in the Golden State with 25 percent support. Joe Biden (D) came in a close second with 23 percent support, follow… [+2654 chars]","Sen. Elizabeth Warren (D-MA) is rising in California, and Sen. Kamala Harris (D-CA) is continuing to flounder, a Change Research poll released Thursday shows.",2019-09-21,Breitbart News,Poll: Elizabeth Warren Takes the Lead in California; Kamala Harris Flounders,https://www.breitbart.com/politics/2019/09/21/poll-elizabeth-warren-takes-the-lead-in-california-kamala-harris-flounders/,"Sen. Elizabeth Warren (D-MA) is rising in California, and Sen. Kamala Harris (D-CA) is continuing to flounder, a Change Research poll released Thursday shows.

Change Research polled 3,325 likely Democrat primary voters September 12-15, 2019, and found the Massachusetts senator narrowly leading the field in the Golden State with 25 percent support. Sen Bernie Sanders (I-VT) came in a close second with 23 percent support, followed by Joe Biden (D) with 18 percent support.

Harris failed to break into the top tier of candidates in her home state, coming in fourth place with 11 percent support. Mayor Pete Buttigieg (D) came in right on her heels with ten percent support, followed by Andrew Yang (D) with three percent and Beto O’Rourke (D), Rep. Tulsi Gabbard (D-HI), and Sen. Cory Booker (D-NJ), who saw two percent support each.

Harris failed to break into the top tier of candidates in her home state, coming in fourth place with 11 percent support. Mayor Pete Buttigieg (D) came in right on her heels with ten percent support, followed by Andrew Yang (D) with three percent and Beto O’Rourke (D), Rep. Tulsi Gabbard (D-HI), and Sen. Cory Booker (D-NJ), who saw two percent support each.

According to Change Research, Harris’s saving grace is the slight edge she has among black voters in the state, with a three-point lead over Biden.

Change Research reports:

Sanders leads among 18-34 year-old voters in California with 45% of the vote, followed by Warren with 18% and Harris and Yang, both with 8%. Among 35-49 year old voters, Warren leads with 28%, followed by Sanders (23%) and Harris (14%). Support for Sanders significantly drops among voters 50 years and older. Warren (26%) leads Biden (25%) by 1-point among voters 50-64 years old, while Warren and Biden are tied among voters 65 years and older, each with 29%. Kamala Harris leads among black voters with 27%, followed by Biden (24%), and Warren (21%). Asian voters support Biden (22%), followed by Warren (21%), Sanders (18%), and Yang (14%). Among Latinx voters, Sanders leads both Warren and Biden by 17-points with 35%. Warren leads white voters with 31%, followed by Sanders (19%), and Biden (16%).

The margin of error is +/- 1.7 percent:

#California Democratic Primary:

Warren 25%

Sanders 23%

Biden 18%

Harris 11%

Buttigieg 10%

Yang 3%

O'Rourke 2%

Gabbard 2%

Booker 2%

Castro 1%

Klobuchar 1%

Williamson 1%

Steyer 0%

de Blasio 0%

Bullock 0%

Messam 0%

Sestak 0%

Bennet 0%

Ryan 0%

Delaney 0%@ChangePolls/@KQED 9/12-15 — Political Polls (@Politics_Polls) September 19, 2019

The results follow a California Emerson College poll released this week, showing Sanders and Biden leading the field in California with 26 percent support each, and Warren coming in third place with 20 percent support. Harris fared worse in the California Emerson College poll, falling behind for a fifth-place position with just six percent support.

Harris’s ongoing struggle in recent polls has caused her campaign to shift its strategy, pumping resources into Iowa. The California lawmaker made headlines this week after telling a colleague that she is “f*cking moving to Iowa”:

“I’m f****** moving to Iowa,” Sen. Kamala Harris joked to Sen. Hirono (before she noticed me) pic.twitter.com/dv0PRWLY8g — Matt Laslo (@MattLaslo) September 18, 2019

According to the Des Moines Register, Harris’s campaign is nearly doubling its staffers in Iowa — adding 60 — and opening ten additional office locations."
8,Trent Baker,"Senator Chris Coons (D-DE) on Friday discussed his support of 2020 Democratic presidential candidate former Vice President Joe Biden over the likes of Sens. Elizabeth Warren (D-MA) and Bernie Sanders (I-VT).
Coons said on CNBC’s “Squawk Box” that he is backi… [+487 chars]",Senator Chris Coons (D-DE) on Friday discussed his support of 2020 Democratic presidential candidate former Vice President Joe Biden over the likes of Sens. Elizabeth Warren (D-MA) and Bernie Sanders (I-VT). Coons said on CNBC’s “Squawk Box” that he is,2019-09-20,Breitbart News,Coons on Biden Support: ‘We Can’t Be the Party of Free Stuff — That Doesn’t Work’,https://www.breitbart.com/clips/2019/09/20/coons-on-biden-support-we-cant-be-the-party-of-free-stuff-that-doesnt-work/,"Senator Chris Coons (D-DE) on Friday discussed his support of 2020 Democratic presidential candidate former Vice President Joe Biden over the likes of Sens. Elizabeth Warren (D-MA) and Bernie Sanders (I-VT).

Coons said on CNBC’s “Squawk Box” that he is backing Biden because he supports economic growth in the United States and Biden will be solving the problems for average Americans and working to bring the country together.

“I say over and over we need to be solving the problems that average Americans want us to work on,” Coons told host Joe Kernen. “And that’s how can we afford college for our kids? How can we afford it for our kids? We cannot be the party of free stuff. That doesn’t work.”

Follow Trent Baker on Twitter @MagnifiTrent"
9,Hannah Bleau,"Black leaders including Black Lives Matter leaders, like co-founder Patrisse Cullors signed a letter, which condemned the hateful, violent, and racist threats from people who identify as Sanders supporters. A draft of the letter, obtained by Splinter News, cl… [+4363 chars]","Sen. Bernie Sanders (I-VT) responded to a letter on Thursday, which accused some of his supporters of making ""hateful, violent and racist threats"" toward people associated with the Working Families Party, which endorsed his rival Sen. Elizabeth Warren (D-MA).",2019-09-20,Breitbart News,Bernie Sanders Addresses ‘Racist Threats’ His Supporters Allegedly Made,https://www.breitbart.com/politics/2019/09/20/bernie-sanders-addresses-racist-threats-allegedly-made-by-his-supporters/,"Sen. Bernie Sanders (I-VT) responded to a letter on Thursday, which accused some of his supporters of making “hateful, violent and racist threats” toward people associated with the Working Families Party, which endorsed his rival Sen. Elizabeth Warren (D-MA).

Black leaders – including Black Lives Matter leaders, like co-founder Patrisse Cullors – signed a letter, which condemned the “hateful, violent, and racist threats” from people who identify as Sanders supporters. A draft of the letter, obtained by Splinter News, claimed that Sanders supporters have called black leaders “Uncle Tom,” “Slave,” and “Cunt.” The alleged threats followed Sanders’ loss of the WFP endorsement, according to the letter.

The letter, via Splinter, reads in part:

The WFP made a decision, with its members and supporters and staff, and there is now conflict over the substance of that decision. But let’s also be clear — the WFP is under new leadership. For the first time in its history, Maurice Mitchell, a Black man with decades of experience building movements and strengthening our democracy, alongside Nelini Stamp, a working class, woman of color and a gifted organizer with a long list of accomplishments, are now at the helm of the Party, where they should be. And apparently, some folks aren’t happy about it. These incredible leaders who led an organization to take a risk by lifting up the leadership of Black, Latinx, Asian and Pacific Islander and white communities in coalescing around a candidate with enough time to engage their communities deeply ahead of the 2020 election, are being threatened on a daily basis, by self-identified Sanders supporters, with hateful, violent and racist threats. “Uncle Tom.” “Slave.” “Cunt.” These kinds of threats have no place in our movements, and are reminiscent of the threats Black people would receive when daring to vote even though the white supremacists would try and discourage Black people from doing so. The virulent, racist attacks on these leaders are unacceptable and dangerous. What do we do when racism and sexism is present in progressive movements? What is the prospect of strengthening democracy when old habits just won’t die? Many of us, the undersigned, are no stranger to these kinds of attacks—too many of us receive threats like these ones every day because we dare to organize our people towards freedom. But if we hope to take back this democracy, if we dare to struggle for electoral justice, if we really want a world where Black lives do in fact matter, all of us must take a stand against these real and persistent threats. … We refuse to concede to white terror from the Left as well as the Right. We can argue about the differences between Sanders and Warren, but not if we can’t be distinguished from our real opposition.

The leaders continued, demanding the Sanders campaign “unequivocally denounce the racism in its ranks, and issue a public statement separating themselves from these abhorrent attacks.” They also urged Democrats across the board – both Sanders supporters and Warren supporters – to come together to “defeat one of the most serious threats to peace and justice in our lifetimes.”

“We cannot wait to make justice real amongst the resisters — our lives literally depend on each other,” the leaders added in the letter.

In a tweet on Thursday afternoon, Sanders seemingly responded to the letter’s call for swift condemnation.

“This campaign condemns racist bullying and harassment of any kind, in any space,” Sanders tweeted. “We are building a multiracial movement for justice — that’s how we win the White House”:

This campaign condemns racist bullying and harassment of any kind, in any space. We are building a multiracial movement for justice — that’s how we win the White House. — Bernie Sanders (@BernieSanders) September 19, 2019

National co-chair for the Sanders campaign, Nina Turner, also condemned the alleged threats outlined in the letter.

“Anyone directing racist, sexist &otherwise personally derogatory tweets/messages towards @MauriceWFP or anyone on his team @WorkingFamilies is a coward and is not in alignment w/ @BernieSanders or our collective mission,” she wrote:

Anyone directing racist, sexist &otherwise personally derogatory tweets/messages towards @MauriceWFP or anyone on his team @WorkingFamilies is a coward and is not in alignment w/ @BernieSanders or our collective mission. — Nina Turner (@ninaturner) September 19, 2019

The Sanders campaign signaled concern after losing the WFP endorsement to Warren, shaking up campaign staff in both New Hampshire and Iowa.

“Senator Warren strikes fear into the hearts of the robber barons who rigged the system, and offers hope to millions of working people who have been shut out of our democracy and economy,” WFP’s National Party Director Maurice Mitchell said of the Massachusetts senator following the coveted endorsement."
