,author,content,description,publishedAt,source,title,url,full_art
0,MSNBC.com,,We make some sense of Hunter Biden's ties to Ukraine and the allegations Trump and his attorney Rudy Giuliani have made. Adam Entous of The New Yorker joins.,2019-09-21,MSNBC,Explaining Trump and Giuliani’s allegations against Joe Biden and his son,https://www.msnbc.com/11th-hour/watch/explaining-trump-and-giuliani-s-allegations-against-joe-biden-and-his-son-69540933639,We make some sense of Hunter Biden's ties to Ukraine and the allegations Trump and his attorney Rudy Giuliani have made. Adam Entous of The New Yorker joins.
1,MSNBC.com,,Former Vice President Joe Biden says that President Trump should be investigated over whistleblower reports alleging that Trump pressured a Ukrainian leader to investigate Biden's son.,2019-09-21,MSNBC,'Trump deserves to be investigated': Biden on whistleblower reports,https://www.msnbc.com/weekends-with-alex-witt/watch/former-vice-president-joe-biden-says-trump-should-be-investigated-over-whistleblower-reports-69568581724,Former Vice President Joe Biden says that President Trump should be investigated over whistleblower reports alleging that Trump pressured a Ukrainian leader to investigate Biden's son.
2,MSNBC.com,,"MSNBC’s Garrett Haake, former RNC chairman Michael Steele, former undersecretary of state for public policy Rick Stengel, LA Times’ Eli Stokols, MoveOn’s Karine Jean-Pierre, and MSNBC’s John Heilemann on former vice president Joe Biden’s first reaction to the…",2019-09-20,MSNBC,Biden: Not one single credible outlet has given any credibility to Trump’s assertion,https://www.msnbc.com/deadline-white-house/watch/biden-not-one-single-credible-outlet-has-given-any-credibility-to-trump-s-assertion-69515333556,"MSNBC’s Garrett Haake, former RNC chairman Michael Steele, former undersecretary of state for public policy Rick Stengel, LA Times’ Eli Stokols, MoveOn’s Karine Jean-Pierre, and MSNBC’s John Heilemann on former vice president Joe Biden’s first reaction to the story that Trump allegedly asked the Ukranian president to investigate Biden’s son"
3,MSNBC.com,,"In a statement, Former Vice President Biden said that, at a minimum, the President should release a transcript of the call and order that the whistleblower's complaint be released to Congress.",2019-09-20,MSNBC,Biden calls for release of transcripts on Trump’s call with Ukraine president,https://www.msnbc.com/hardball/watch/biden-calls-for-release-of-transcripts-on-trump-s-call-with-ukraine-president-69525061847,"In a statement, Former Vice President Biden said that, at a minimum, the President should release a transcript of the call and order that the whistleblower's complaint be released to Congress."
4,MSNBC.com,,"President Trump is claiming the whistleblower who filed an intelligence claim is part of a partisan political hack job, but refusing to say if he talked about Joe Biden or his family during a phone call that's now under intense scrutiny. Chris Jansing is join…",2019-09-20,MSNBC,Trump says he doesn’t know who ‘partisan’ whistleblower is,https://www.msnbc.com/velshi-ruhle/watch/trump-says-he-doesn-t-know-who-partisan-whistleblower-is-69494853875,"President Trump is claiming the whistleblower who filed an intelligence claim is part of a partisan political hack job, but refusing to say if he talked about Joe Biden or his family during a phone call that's now under intense scrutiny. Chris Jansing is joined by NBC’s Kelly O’Donnell, former Congressman David Jolly, NBC’s Ken Dilanian, and Washington Post Correspondent Anne Gearan to discuss what we know."
5,MSNBC.com,,"MSNBC’s Richard Lui discusses the newest revelations from the Whistleblower Controversy with NBC News Correspondent Hans Nichols, Former U.S. Attorney Barbara McQuade, New York Times National Security Reporter Julian Barnes, and Daily Beast White House Report…",2019-09-21,MSNBC,Barbara McQuade on Trump’s use of Giuliani: “What he’s doing is really playing with fire”,https://www.msnbc.com/msnbc/watch/whistleblower-controversy-trump-s-use-of-giuliani-is-problematic-69580869970,"MSNBC’s Richard Lui discusses the newest revelations from the Whistleblower Controversy with NBC News Correspondent Hans Nichols, Former U.S. Attorney Barbara McQuade, New York Times National Security Reporter Julian Barnes, and Daily Beast White House Reporter Asawin Suebsaeng. In recent days, claims from an anonymous whistleblower detail President Trump’s request that the Ukrainian government to investigate former Vice President Joe Biden, and his son Hunter. Trump solicited the help of his personal confidant, former New York City Mayor Rudy Giuliani, in order to communicate with Ukrainian President Volodymyr Zelensky . Because Giuliani doesn’t have an official government position, McQuade feels that this arrangement could be unlawful, as it may violate the Logan Act. In addition to discussing the legality of the Giuliani situation, the panel talks about the fallout from this recent scandal. Both Biden and Trump have come out strongly against one another, and neither is backing down."
6,MSNBC.com,,"Trump aide Rudy Giuliani is making headlines after admitting he asked Ukraine to ‘go after Biden,’ a statement at the center of the “urgent” whistleblower complaint. Former FBI agent Josh Campbell argues Trump “has to win” to preserve his freedom, and he is w…",2019-09-20,MSNBC,Trump 'will do anything' to win because his 'freedom' might 'be on the line',https://www.msnbc.com/the-beat-with-ari/watch/trump-will-do-anything-to-win-because-his-freedom-might-be-on-the-line-69523013804,"Trump aide Rudy Giuliani is making headlines after admitting he asked Ukraine to ‘go after Biden,’ a statement at the center of the “urgent” whistleblower complaint. Former FBI agent Josh Campbell argues Trump “has to win” to preserve his freedom, and he is willing to “do whatever it takes,” even accepting foreign meddling."
7,MSNBC.com,,"The Wall Street Journal details new reports about the “urgent” whistleblower complaint, that President Trump asked the Ukrainian President ‘eight times’ to go after Biden, and assigned Rudy Giuliani to execute the plot. Rep. Greg Meeks argues, Trump is making…",2019-09-20,MSNBC,Trump under fire for 2020 collusion,https://www.msnbc.com/the-beat-with-ari/watch/trump-under-fire-for-2020-collusion-69517893691,"The Wall Street Journal details new reports about the “urgent” whistleblower complaint, that President Trump asked the Ukrainian President ‘eight times’ to go after Biden, and assigned Rudy Giuliani to execute the plot. Rep. Greg Meeks argues, Trump is making ‘a joke of our institutions,’ adding Republicans need to ‘stop making excuses for Trump.’"
8,Steve Benen,"There are still some key elements of the whistleblower scandal that are not yet publicly available, but after reading the Washington Posts overnight scoop, story is quickly coming into sharper focus.
A whistleblower complaint about President Trump made by an… [+3282 chars]",The intelligence community's complaint about Trump was reportedly centered on Ukraine. That's no small detail.,2019-09-20,MSNBC,Revelations bring Trump's whistleblower scandal into sharper focus,http://www.msnbc.com/rachel-maddow-show/revelations-bring-trumps-whistleblower-scandal-sharper-focus,"There are still some key elements of the whistleblower scandal that are not yet publicly available, but after reading the Washington Post’s overnight scoop, the story is quickly coming into sharper focus.

A whistleblower complaint about President Trump made by an intelligence official centers on Ukraine, according to two people familiar with the matter, which has set off a struggle between Congress and the executive branch. The complaint involved communications with a foreign leader and a “promise” that Trump made, which was so alarming that a U.S. intelligence official who had worked at the White House went to the inspector general of the intelligence community, two former U.S. officials said. Two and a half weeks before the complaint was filed, Trump spoke with Ukrainian President Volodymyr Zelensky, a comedian and political newcomer who was elected in a landslide in May.

The New York Times also reported that the story involves Trump and Ukraine.

And if you’ve been following the news closely over the last few weeks, this doesn’t necessarily come as a major surprise. Trump, putting aside the Pentagon’s guidance, recently held off on delivering promised military aid to Ukraine, and according to the Washington Post, it’s because the American president hoped to leverage the aid as part of an extortion scheme: Trump reportedly told Ukrainian President Volodymyr Zelensky that if his country wanted the military assistance, his country would have to assist the Trump campaign by investigating Joe Biden.

If you’re wondering why in the world Ukraine would have anything to do with the 2020 race in the United States in the first place, the New York Times published a curious article in May, raising questions about Joe Biden’s work several years ago on a government-reform effort in Ukraine. There was some suggestion that the Delaware Democrat’s son may have benefited, but the claims of possible wrongdoing quickly unraveled, and the story went largely overlooked.

Trump and his team, however, believe that if they dig hard enough on this, there may be some dirt they could use.

It’s against this backdrop that Trump reportedly made a “promise” that centered on Ukraine that was so provocative that a U.S. intelligence official filed a complaint with the inspector general of the intelligence community.

The Trump administration is now hiding that complaint from Congress, defying legal disclosure requirements.

To be sure, none of the latest reporting on the scandal has directly linked Trump’s controversial “promise” and his purported efforts to shake down the new Ukrainian president, but to understand the context of the developments, it’s important to keep both stories in mind.

Alas, that’s not the only angle of note in this fast-breaking story. As Rachel explained on the show last night, Trump’s Justice Department, for reasons unknown, has been brought into the process and is arguing that the whistleblower complaint isn’t a real whistleblower complaint, so the administration is justified in ignoring disclosure laws.

What’s more, CNN has reported that the White House itself is involved in the handling of the whistleblower complaint, which seems inherently indefensible, since the complaint directly implicates the president.

For his or her part, the whistleblower has hired a powerhouse attorney who specializes in whistleblower protections, which was probably a good idea given the possibility of reprisals against the person who filed the complaint related to Trump’s alleged misconduct.

Watch this space."
9,Steve Benen,"Today’s installment of campaign-related news items from across the country.
* New York City Mayor Bill de Blasio ended his Democratic presidential campaign this morning, explaining on MSNBC, I feel like I have contributed all I can to this primary election. … [+1888 chars]",Today's installment of campaign-related news items from across the country.,2019-09-20,MSNBC,"Friday's Campaign Round-Up, 9.20.19",http://www.msnbc.com/rachel-maddow-show/fridays-campaign-round-92019,"Today’s installment of campaign-related news items from across the country.

* New York City Mayor Bill de Blasio ended his Democratic presidential campaign this morning, explaining on MSNBC, “I feel like I have contributed all I can to this primary election. It’s clearly not my time.” There are still 19 candidates vying for the party’s nomination.

* Joe Biden’s presidential campaign picked up three notable congressional endorsements yesterday, receiving support from Reps. Emanuel Cleaver (D-Mo.), G.K. Butterfield (D-N.C.), and Charlie Crist (D-Fla.). Both Cleaver and Butterfield have served as chairs of the Congressional Black Caucus.

* Bernie Sanders’ presidential campaign announced an impressive milestone yesterday: the Vermont senator became the first 2020 candidate to reach 1 million individual donors. Then-candidate Barack Obama also topped the million-donor mark in his 2008 race, but Sanders reached the threshold even faster.

* There’s been increased speculation in recent weeks about whether Rep. Lucy McBath (D) would run in one of Georgia’s two U.S. Senate races next year, but the first-term lawmaker announced yesterday that she would instead run for re-election to her U.S. House seat.

* The latest Monmouth University poll in New Jersey shows Sen. Cory Booker (D) popular in his home state, but that’s not translating into strong support for his presidential campaign. Biden leads the Democratic field in the Garden State with 26%, followed by Elizabeth Warren at 20%, and Sanders at 18%. Booker is fourth in New Jersey with 9%.

* A notable tidbit from this week’s Fox News poll: it not only shows Donald Trump trailing each of the top Democratic contenders in hypothetical general election match-ups, it also shows Democrats with an enthusiasm edge over Republicans.

* And in New Hampshire, where Corey Lewandowski, Trump’s former campaign manager, appears to be gearing up for a U.S. Senate race, Sen. Ted Cruz (R-Texas) announced yesterday that he’s supporting former state House Speaker Bill O’Brien for the GOP nomination. Sen. Jeanne Shaheen (D), meanwhile, is generally seen as the favorite to win re-election."
10,MPX,,"Joe Biden's numbers are at their lowest since May in the latest Fox News polling, yet Bernie Sanders is experiencing a boost. Also, Biden, Sanders, Warren and Harris lead Trump in a theoretical match-up.",2019-09-20,MSNBC,"Biden support falls, Sanders gains in new polling",https://www.msnbc.com/morning-joe/watch/biden-support-falls-sanders-gains-in-new-polling-69351493716,"Joe Biden's numbers are at their lowest since May in the latest Fox News polling, yet Bernie Sanders is experiencing a boost. Also, Biden, Sanders, Warren and Harris lead Trump in a theoretical match-up."
