,author,content,description,publishedAt,source,title,url,full_art
0,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"Crowds in Cedar Rapids, Iowa, pointed out a bald eagle perched nearby, which prompted former Vice President Joe Biden to recall an emotional story about his son Beau.",2019-09-20,CNN,Biden grows emotional talking about his late son Beau,https://www.cnn.com/videos/politics/2019/09/20/joe-biden-bald-eagle-beau-biden-sot-vpx.cnn,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
1,"Paul LeBlanc, CNN",,President Donald Trump's attorney Rudy Giuliani on Thursday denied asking Ukraine to investigate Joe Biden moments before admitting that he had done just that.,2019-09-20,CNN,Rudy Giuliani denies asking Ukraine to investigate Biden -- before admitting it,https://www.cnn.com/2019/09/19/politics/rudy-giuliani-joe-biden-ukraine-cnntv/index.html,"Washington (CNN) President Donald Trump's attorney Rudy Giuliani on Thursday denied asking Ukraine to investigate Joe Biden moments before admitting that he had done just that.

Giuliani's comments came in a heated exchange on CNN's ""Cuomo Prime Time"" as Chris Cuomo pressed the former New York mayor over conversations he'd had with a Ukrainian official about Biden's possible role in that government's dismissal of a prosecutor who had investigated the former vice president's son, Hunter. Giuliani has repeatedly pointed to the event as a scandal, even as other Western governments also called for that prosecutor's dismissal and no evidence has indicated Biden's move was inappropriate. That prosecutor was replaced by Yuriy Lutsenko, who would later drop an investigation into a company in which Hunter Biden was involved.

""Did you ask the Ukraine to investigate Joe Biden?"" Cuomo asked Giuliani.

""No, actually I didn't. I asked the Ukraine to investigate the allegations that there was interference in the election of 2016 by the Ukrainians for the benefit of Hillary Clinton, for which there is already a court finding,"" Giuliani responded.

""You never asked anything about Hunter Biden? You never asked anything about Joe Biden and his role with the prosecutor?"" Cuomo asked.

Read More"
2,"Paola Chavez, CNN","Washington (CNN)Hillary Clinton slammed President Donald Trump on Friday after his personal attorney Rudy Giuliani admitted to asking Ukraine to investigate former Vice President Joe Biden, who is currently the Democratic front-runner to challenge Trump in ne… [+2171 chars]","Hillary Clinton slammed President Donald Trump on Friday after his personal attorney Rudy Giuliani admitted to asking Ukraine to investigate former Vice President Joe Biden, who is currently the Democratic front-runner to challenge Trump in next year's presid…",2019-09-20,CNN,Hillary Clinton: Trump asked foreign power to help election. Again,https://www.cnn.com/2019/09/20/politics/hillary-clinton-donald-trump-ukraine/index.html,"Washington (CNN) Hillary Clinton slammed President Donald Trump on Friday after his personal attorney Rudy Giuliani admitted to asking Ukraine to investigate former Vice President Joe Biden, who is currently the Democratic front-runner to challenge Trump in next year's presidential election.

""The president asked a foreign power to help him win an election. Again,"" the former secretary of state tweeted, referring to Trump's call during the 2016 race for Russia to look into Clinton's deleted emails.

The president asked a foreign power to help him win an election.



Again.https://t.co/EjkE84oCCF — Hillary Clinton (@HillaryClinton) September 20, 2019

Clinton's tweet included a video of Giuliani's comments on CNN's ""Cuomo Prime Time"" Thursday, when Chris Cuomo pressed the former New York mayor over conversations he'd had with a Ukrainian official about Biden's possible role in that government's dismissal of a prosecutor who had investigated the former vice president's son, Hunter.

""Did you ask the Ukraine to investigate Joe Biden?"" Cuomo asked Giuliani.

""No, actually I didn't. I asked the Ukraine to investigate the allegations that there was interference in the election of 2016 by the Ukrainians for the benefit of Hillary Clinton, for which there is already a court finding,"" Giuliani responded.

Read More"
3,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"Former Vice President Joe Biden slammed President Donald Trump for using allegations of wrongdoing in Ukraine against him, saying Trump is only doing this because he knows ""I'll beat him like a drum"" in the 2020 presidential election.",2019-09-21,CNN,Biden scolds reporter who asks about his son's business,https://www.cnn.com/videos/politics/2019/09/21/joe-biden-son-business-trump-sot-nr-vpx.cnn,"Former Vice President Joe Biden slammed President Donald Trump for using allegations of wrongdoing in Ukraine against him , saying Trump is only doing this because he knows ""I'll beat him like a drum"" in the 2020 presidential election."
4,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"President Trump's attorney Rudy Giuliani told CNN's Chris Cuomo he had ""no idea"" whether Trump talked with the Ukrainian president about former Trump campaign chairman Paul Manafort and former Vice President Joe Biden.",2019-09-20,CNN,Cuomo presses Giuliani on Ukraine: Give me the proof!,https://www.cnn.com/videos/politics/2019/09/20/cuomo-rudy-giulaini-ukraine-not-going-to-give-you-proof-sot-cpt-vpx.cnn,"President Trump's attorney Rudy Giuliani told CNN's Chris Cuomo he had ""no idea"" whether Trump talked with the Ukrainian president about former Trump campaign chairman Paul Manafort and former Vice President Joe Biden."
5,"Kaitlan Collins, Kylie Atwood and Kevin Liptak, CNN","(CNN)President Donald Trump's stance on Ukraine has evolved over the past year from one of general uninterest to a more engaged approach as he has discussed allegations of wrongdoing involving former Vice President Joe Biden and his son, people familiar with … [+6649 chars]","President Donald Trump's stance on Ukraine has evolved over the past year from one of general uninterest to a more engaged approach as he has discussed allegations of wrongdoing involving former Vice President Joe Biden and his son, people familiar with the m…",2019-09-21,CNN,Trump's Ukraine interest ramped up as Giuliani pressed claims,https://www.cnn.com/2019/09/20/politics/trump-ukraine-rudy-giuliani-joe-biden/index.html,"(CNN) President Donald Trump's stance on Ukraine has evolved over the past year from one of general uninterest to a more engaged approach as he has discussed allegations of wrongdoing involving former Vice President Joe Biden and his son, people familiar with the matter said.

Now Ukraine has become wrapped in the Trump presidency's many subplots: the role of Russia and President Vladimir Putin, the legacy of Trump's predecessor Barack Obama, Trump's reelection outlook and a loose network of advisers not always operating in concert.

The result is renewed focus on a country Trump once sought to tune out but where he now sees a political opportunity. His approach to Ukraine melds political and national security concerns fanned by some of his closest advisers.

Trump has raised the issue involving the former vice president and his son Hunter Biden repeatedly in private conversations and believes there is a political opportunity in further probing the matter, the people familiar with the matter said.

He's been urged along by his private attorney, Rudy Giuliani, who told CNN on Thursday evening that he'd pressed Ukrainian officials to investigate Biden and his son. Giuliani has maintained that he has been acting on his own and not at the direction of the President as he meets with Ukrainian officials. But Giuliani is aware that the issue has gotten Trump's attention, according to the people familiar with the situation. And Trump has raised it multiple times, in person and on the phone.

A source close to the White House who is familiar with Trump's comments said the President has been seething for months about Ukraine and Biden. The source described Trump as ""angry"" about what he sees as a liability for the former vice president. The source also said Giuliani has been ""egging him on.""

Trump told reporters on Friday that ""somebody ought to look into"" the Biden matter, and said that ""it doesn't matter what I discussed"" during a July phone call with Ukrainian President Volodymyr Zelensky. CNN reported on Friday that in that call, Trump pressed Zelensky to investigate Biden's son . Trump is due to meet next Wednesday with Zelensky in New York.

Trump was not initially interested in meeting with Zelensky or engaging with him, viewing him as an extension of the country's previous leader, President Petro Poroshenko. Trump believed Ukraine was a corrupt country that wasn't committed to reform, according to people familiar with his thinking at the time.

The phone call and meeting come after months of back and forth between Trump and his advisers, who have worked to convince him that engaging the new Ukrainian leader is worth his time and effort for national security reasons.

The country's attacks on Trump's former campaign chairman Paul Manafort, with accusations of him laundering money with offshore accounts, were the ultimate foundation for the President's beliefs.

Trump also consistently cast Ukraine -- a portion of which was annexed by Russia in 2014 -- as a messy situation created by his predecessor that he was unenthusiastic about wading into himself.

""He had never been concerned or interested in Ukraine,"" one person familiar with Trump's thinking said.

""Obama lost it,"" was Trump's view, the person said, adding that the President always seemed ""more interested in engaging Putin than Zelensky.""

Trump's ties to Putin have been heavily scrutinized, and he's been accused of showing deference to the Russian leader. He's also remained fixated on Obama, frequently seeking to unravel his legacy.

That lack of interest in Ukraine appeared to shift over the summer, when some of Trump's national security advisers worked to convince him that engaging Ukraine's new leader would benefit US national security interests. Though Trump continued to remain skeptical, he told his advisers he was open to being convinced of further engagement.

Then-national security adviser John Bolton and other senior Trump administration officials invited Oleksandr Danylyuk, the secretary of Ukraine's National Security and Defense Council, to Washington for meetings in early July. They went well, and the White House saw it as a ""sign of encouragement"" to nudge Trump toward working with Ukraine.

The renewed engagement happened to dovetail with Giuliani's efforts to convince Ukrainian officials to look into Biden and his son -- an effort Giuliani spoke about publicly and that quickly caught Trump's attention. Even before Zelensky took office, Giuliani made known he was looking to set up a meeting to discuss an investigation into Burisma, the natural gas company where Biden's son Hunter had served on the board of directors.

Giuliani's meetings occurred over the summer, just as US administration officials were working to spark Trump's interest in Ukraine. The parallel efforts seemed to be the launchpad for convincing Trump to engage with Ukraine more robustly. Three weeks later, Trump spoke by phone with Zelensky for the first time, in a call that is now under intense scrutiny for its potential role in the whistleblower's complaint . Later, aides worked to arrange a meeting in Poland, though Trump ultimately did not make the trip because of a hurricane in the United States.

People familiar with the matter said Bolton and the other US officials who met with Danylyuk in early July did not discuss the Biden matter. But the issue was known, and colored the talks.

""That was a bizarre situation, but it all seemed to be dealt with in Giuliani track,"" a person familiar with the meetings said. ""It was out there, but it was being handled by Giuliani. We did not deal with that because he [Giuliani] was talking about it and saying he was a private citizen.""

At the same time, the administration begin reviewing $250 million in foreign aid to Ukraine, initially placing a hold on the package that angered some in Congress. The issue provided another wedge between Bolton, who was an advocate for the aid, and acting chief of staff Mick Mulvaney, who pushed for the package to be reviewed. The money was released last week

It's not known how, if at all, the foreign aid was related to the Biden matter. And a person familiar with the situation said Friday that Trump had not discussed the pending aid package during the July 25 call with Zelensky.

But even before this week's revelations about the intelligence whistleblower, Democrats in Congress had accused the administration of engaging in a quid pro quo with the Ukrainian government.

Through it all, Trump's interactions and meetings on Ukraine have been treated with special sensitivity within the administration. The State Department never got extensive readouts of his calls. And few people within the administration learned precisely what was discussed.

""There was concern about leaks,"" one person said of the tight hold on information."
6,"Sarah Mucha and Jessica Dean, CNN","(CNN)Joe Biden pushed back on President Donald Trump's unproven claims that Biden and his son Hunter Biden had acted inappropriately in their dealings with the Ukrainian government during Biden's time as vice president. 
""Not one single credible outlet has g… [+2832 chars]",Joe Biden pushed back on President Donald Trump's unproven claims that Biden and his son Hunter Biden had acted inappropriately in their dealings with the Ukrainian government during Biden's time as vice president.,2019-09-20,CNN,Joe Biden slams Trump's comments on his Ukraine dealings,https://www.cnn.com/2019/09/20/politics/joe-biden-trump-ukraine-whistleblower/index.html,"(CNN) Joe Biden pushed back on President Donald Trump's unproven claims that Biden and his son Hunter Biden had acted inappropriately in their dealings with the Ukrainian government during Biden's time as vice president.

""Not one single credible outlet has given any credibility to his assertion,"" Biden said Friday. ""Not one single one, and so I have no comment except the President should start to be president.""

Biden said no more about the issue as he and his staff loaded into a van to depart the Indian Creek Nature Center in Cedar Rapids, Iowa, after hosting a town hall on Friday afternoon.

His remarks came as a communication between Trump and a foreign leader prompted a whistleblower complaint that is now at the center of a dispute between the director of national intelligence and Congress. The whistleblower's complaint deals at least in part with Ukraine, The New York Times and Washington Post reported Thursday night, prompting speculation that it could be tied to reports that the president's attorney, Rudy Giuliani, had asked Ukraine to investigate Joe Biden.

Trump pressed Ukraine's President to investigate Hunter Biden during a call earlier this summer, a person familiar with the situation said Friday.

Read More"
7,"Ian Hanchett, Ian Hanchett","On Thursday’s broadcast of CNN’s “Cuomo Primetime,” Trump attorney Rudy Giuliani stated that he asked Ukraine to investigate 2020 Democratic presidential candidate former Vice President Joe Biden, before claiming “I didn’t ask them to look into Joe Biden. I a… [+1105 chars]","On Thursday’s broadcast of CNN’s “Cuomo Primetime,” Trump attorney Rudy Giuliani stated that he asked Ukraine to investigate 2020 Democratic presidential candidate former Vice President Joe Biden, before claiming “I didn’t ask them to look into Joe Biden. I a…",2019-09-20,Breitbart News,Giuliani: 'Of Course' I Asked Ukraine to Look Into Biden,https://www.breitbart.com/clips/2019/09/19/giuliani-of-course-i-asked-ukraine-to-look-into-biden/,". @ChrisCuomo : ""So you did ask Ukraine to look into Joe Biden?"" @RudyGiuliani : ""Of course I did"" President Trump's attorney says he had spoken with a Ukrainian official about Joe Biden's possible role in that government's dismissal of a prosecutor who investigated Biden's son. pic.twitter.com/FTaLGBV1zO

On Thursday’s broadcast of CNN’s “Cuomo Primetime,” Trump attorney Rudy Giuliani stated that he asked Ukraine to investigate 2020 Democratic presidential candidate former Vice President Joe Biden, before claiming “I didn’t ask them to look into Joe Biden. I asked them to look into the allegations that related to my client,” which “tangentially” involved Biden

Host Chris Cuomo asked, “Did you ask the Ukraine to investigate Joe Biden?”

Giuliani responded, “No, actually, I didn’t. I asked the Ukraine to investigate the allegations that there was interference in the election of 2016 by the Ukrainians for the benefit of Hillary Clinton.”

Cuomo followed up, “You never asked anything about Hunter Biden? You never asked anything about Joe Biden –?”

Giuliani cut in, “The only thing I asked about Joe Biden is to get to the bottom of how it was that Lutsenko, who was appointed, dismissed the case against AntAC.”

Cuomo then interjected, “So you did ask Ukraine to look into Joe Biden?”

Giuliani responded, “Of course I did.”

Cuomo then stated, “You just said you didn’t.”

Giuliani countered, “No, I didn’t ask them to look into Joe Biden. I asked them to look into the allegations that related to my client, which, tangentially, involved Joe Biden in a massive bribery scheme, not unlike what he did in China.”

Follow Ian Hanchett on Twitter @IanHanchett"
8,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"CNN's Chris Cuomo analyzes his interview with Rudy Giuliani, debunking Giuliani's claims about former vice president Joe Biden.",2019-09-21,CNN,Cuomo breaks down Rudy Giuliani's wild interview,https://www.cnn.com/videos/politics/2019/09/21/cuomo-debunking-giuliani-biden-claim-cpt-vpx.cnn,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
9,"Paul LeBlanc, CNN",,President Donald Trump's attorney Rudy Giuliani on Thursday denied asking Ukraine to investigate Joe Biden moments before admitting that he had done just that.,2019-09-20,CNN,Rudy Giuliani denies asking Ukraine to investigate Biden -- before admitting it,https://www.cnn.com/2019/09/19/politics/rudy-giuliani-joe-biden-ukraine-cnntv/index.html,"Washington (CNN) President Donald Trump's attorney Rudy Giuliani on Thursday denied asking Ukraine to investigate Joe Biden moments before admitting that he had done just that.

Giuliani's comments came in a heated exchange on CNN's ""Cuomo Prime Time"" as Chris Cuomo pressed the former New York mayor over conversations he'd had with a Ukrainian official about Biden's possible role in that government's dismissal of a prosecutor who had investigated the former vice president's son, Hunter. Giuliani has repeatedly pointed to the event as a scandal, even as other Western governments also called for that prosecutor's dismissal and no evidence has indicated Biden's move was inappropriate. That prosecutor was replaced by Yuriy Lutsenko, who would later drop an investigation into a company in which Hunter Biden was involved.

""Did you ask the Ukraine to investigate Joe Biden?"" Cuomo asked Giuliani.

""No, actually I didn't. I asked the Ukraine to investigate the allegations that there was interference in the election of 2016 by the Ukrainians for the benefit of Hillary Clinton, for which there is already a court finding,"" Giuliani responded.

""You never asked anything about Hunter Biden? You never asked anything about Joe Biden and his role with the prosecutor?"" Cuomo asked.

Read More"
