,,lame,longs,awful,insult,worst,astonishing,robust,influential,humane,adjust,polar,unintentional,laughable,tedious,poorly,lighten,nonexistent,amateurish,fairytale,relaxed,sadness,pointless,uncompromising,perceptive,exuberant
Breitbart News,Bernie,3.0,12.0,,,,,2.0,,,,,,,,,,,,,,,,,,
Breitbart News,Biden,6.0,7.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
Breitbart News,Kamala,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Breitbart News,Warren,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,
CNN,Bernie,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
CNN,Biden,4.0,5.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
CNN,Warren,,2.0,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,
Fox News,Bernie,4.0,5.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Fox News,Biden,8.0,9.0,5.0,2.0,3.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
Fox News,Kamala,4.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
Fox News,Warren,,6.0,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,
MSNBC,Bernie,,1.0,,,,,,,,,,,,,,,,,,,,,,,
MSNBC,Biden,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MSNBC,Kamala,,,1.0,,,,,,,,,,,,,,,,,,,,,,
New York Magazine,Bernie,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
New York Magazine,Biden,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,
New York Magazine,Kamala,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
New York Magazine,Warren,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
The New York Times,Bernie,,,,,,,,1.0,,,,,,,,,,,,,,,,,
The New York Times,Biden,,5.0,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,
The New York Times,Kamala,,,,,,,,1.0,,,,,,,,,,,,,,,,,
The New York Times,Warren,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
The Washington Post,Bernie,1.0,,,1.0,1.0,,3.0,2.0,,2.0,2.0,,,,,,,,,,,,1.0,,
The Washington Post,Biden,8.0,3.0,35.0,3.0,3.0,,4.0,5.0,,2.0,1.0,,2.0,,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,
The Washington Post,Kamala,3.0,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
The Washington Post,Warren,4.0,1.0,1.0,,5.0,,3.0,1.0,,1.0,3.0,,,,1.0,,,,,1.0,,,1.0,1.0,2.0
